Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,isolation_source,HOST,lat_lon,isolate,source_material_id,sample_type,strain,env_broad_scale,env_local_scale,env_medium,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Sample_name,Scientific_Name,INSDC_center_name,INSDC_status,Submitter_Id,common_name,ena_first_public,ena_last_update,external_id,INSDC_first_public,INSDC_last_update,ArrayExpress-SPECIES,sample_description,samp_mat_process,ref_biomaterial,collected_by,tissue,source_uvig,virus_enrich_appr,replicate,host_subject_id,project_name,host_common_name,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host_tissue_sampled,broad-scale_environmental_context,ENA_first_public,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,local_environmental_context,Broker_name,Biological_Replicate,host_scientific_name,lab_host,fasta_file (run),host_taxid,isol_growth_condt,propagation,cell_type,source_name,Host_Age,host_sex,specimen_voucher,host_body_product,host_tot_mass,misc_param,samp_capt_status,sex,BREED,Cultivar,dev_stage,ecotype,sub_species,sequencing_approach,actual_read_length (run),Investigation_type,library_id,RUN (run),total_bases (run),Host_disease,environment_(biome),environment_(feature),environment_(material),host-associated_environmental_package,Sequencing_method,samp_collect_device,SUBMISSION_TOOL (exp),SUBMISSION_TOOL (run),submission_tool,SUBMISSION_TOOL_VERSION (exp),SUBMISSION_TOOL_VERSION (run),SUBMISSION_TOOL_VERSION,genbank_accession,samp_size,sampleNumber,treatment,specific_host,virus_enrich_app,altitude,BIOME,env_package,experimental_factor,feature,identified_by,label,material,sample_ID,Derived_from,Host_Diet,metagenome_source,nat_host,organism,rel_to_oxygen
SRR868695,WGS,168,32700916,PRJNA203532,SAMN02147246,24426068,UNIVERSITY OF TURKU,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX286839,Ion Torrent PGM,BatMeta-Jan2012,SINGLE,RANDOM,METAGENOMIC,gut metagenome,ION_TORRENT,2014-05-20T00:00:00Z,2013-06-03T14:27:00Z,1,BatMeta-Jan2012,SRP023235,2010-06-06,Finland,Europe,Finland: South-West Finland,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,,60.444773 N 22.05418 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysis of sequences collected from bat fecal dropping,,,,,,,,,,,,,,,,,,,,,,Adult,,,,,,,,,,,,,,,metagenome,,,,,,,,,,pincers,,,,,,,,1,,,Myotis daubentonii,,5,coast,MIGS/MIMS/MIMARKS.host-associated,,sea coast,,bat-fin-2018,feces,,,insectivorous,,,,
SRR975462,OTHER,200,1112399600,PRJNA218570,SAMN02351598,742222275,INSTITUTE OF MILITARY VETERINARY,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX347766,Illumina HiSeq 2000,,PAIRED,RANDOM PCR,METAGENOMIC,gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,2015-07-31T19:05:00Z,2,YunnanBats,SRP029837,2011-05-13,China,Asia,China: Yunnan,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,,missing,Bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novel SARS like coronavirus in bats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metagenome,,,,,,,,,,,,,,,,,,,,,Chiroptera,,,feces of bats,MIGS/MIMS/MIMARKS.host-associated,,feces,,,feces,,,,,,,
SRR6202122,WGS,202,18066072,PRJNA415003,SAMN07811889,9331475,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311980,Illumina HiSeq 2000,REF_1,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,REF_1,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.90 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,3649346544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202123,WGS,202,5645294,PRJNA415003,SAMN07811890,3525641,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311981,Illumina HiSeq 2000,REF_2,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,REF_2,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.91 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,1140349388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202124,WGS,202,6025458,PRJNA415003,SAMN07811891,3733079,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311982,Illumina HiSeq 2000,REF_3,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,REF_3,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.92 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,1217142516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202125,WGS,202,20160812,PRJNA415003,SAMN07811892,12655660,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311983,Illumina HiSeq 2000,REF_5,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,REF_5,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.93 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,4072484024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202126,WGS,202,13120102,PRJNA415003,SAMN07811894,6876668,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311984,Illumina HiSeq 2000,RHIF_10,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,RHIF_10,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.95 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,2650260604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202127,WGS,202,1776186,PRJNA415003,SAMN07811893,986654,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311985,Illumina HiSeq 2000,RHIF_1,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,RHIF_1,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.94 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,358789572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202128,WGS,202,1873550,PRJNA415003,SAMN07811895,1042914,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311986,Illumina HiSeq 2000,RHIF_2,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,RHIF_2,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.96 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,378457100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6202129,WGS,202,6170090,PRJNA415003,SAMN07811896,3317720,BGI,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3311987,Illumina HiSeq 2000,RHIF_3,PAIRED,PCR,METAGENOMIC,bat metagenome,ILLUMINA,2018-02-28T00:00:00Z,2017-10-24T02:52:00Z,1,RHIF_3,SRP120899,missing,United Kingdom,Europe,United Kingdom,Metagenome or environmental,feces,Rhinolophus ferrumequinum,51.2 N 2.97 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biological replicate 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,FCXXXX,1246358180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
