link,accession,title,journal
https://pubmed.ncbi.nlm.nih.gov/18550669/,EU847144;EU847145;EU847146;EU847147;EU847148;EU847149;EU847150;EU847151;EU847152;EU847153;EU847154;EU847155;EU847156;EU847157;EU847158;EU847159;EU847160;EU847161;EU847162;EU847163;EU847164;EU847165;EU847166;EU847167;EU847168;EU847169;EU847170;EU847171;EU847172;EU847173;EU847174;EU847175;EU847176;EU847177;EU847178;EU847179;EU847180;EU847181;EU847182;EU847183;EU847184;EU847185;EU847186;EU847187;EU847188;EU847189;EU847190;EU847191;EU847192;EU847193;EU847194;EU847195;EU847196;EU847197;EU847198;EU847199;EU847200;EU847201;EU847202;EU847203;EU847204;EU847205;EU847206;EU847207;EU847208;EU847209;EU847210;EU847211;EU847212;EU847213;EU847214;EU847215;EU847216;EU847217;EU847218;EU847219;EU847220,Novel astroviruses in insectivorous bats,"J. Virol. 82 (18), 9107-9114 (2008)"
https://pubmed.ncbi.nlm.nih.gov/19264622/,FJ571065;FJ571066;FJ571067;FJ571068;FJ571069;FJ571070;FJ571071;FJ571072;FJ571073;FJ571074;FJ571075;FJ571076;FJ571077;FJ571078;FJ571079;FJ571080;FJ571081;FJ571082;FJ571083;FJ571084;FJ571085;FJ571086;FJ571087;FJ571088;FJ571089;FJ571090;FJ571091;FJ571092;FJ571093;FJ571094;FJ571095;FJ571096;FJ571097;FJ571101;FJ571102;FJ571103;FJ571104;FJ571105;FJ571106;FJ571107;FJ571108;FJ571109;FJ571110;FJ571111;FJ571112;FJ571113;FJ571114;FJ571115;FJ571116;FJ571117;FJ571118;FJ571119;FJ571120;FJ571121;FJ571122;FJ571123;FJ571124;FJ571125;FJ571126;FJ571127;FJ571128;FJ571129;FJ571130;FJ571131;FJ571132;FJ571133;FJ571134;FJ571135;FJ571136;FJ571137;FJ571138;FJ571139;FJ571140,Detection of diverse astroviruses from bats in China,"J. Gen. Virol. 90 (PT 4), 883-887 (2009)"
https://pubmed.ncbi.nlm.nih.gov/20463061/,HM228876,Bat guano virome: predominance of dietary viruses from insects and plants plus novel mammalian viruses,"J. Virol. 84 (14), 6955-6965 (2010)"
https://pubmed.ncbi.nlm.nih.gov/21392436/,HM368168;HM368169;HM368170;HM368171;HM368172;HM368173;HM368174;HM368175,Amplification of emerging viruses in a bat colony,"Emerging Infect. Dis. 17 (3), 449-456 (2011)"
https://pubmed.ncbi.nlm.nih.gov/21573690/,HQ613157;HQ613158;HQ613159;HQ613160;HQ613161;HQ613162;HQ613163;HQ613164;HQ613165;HQ613166;HQ613167;HQ613168;HQ613169;HQ613170;HQ613171;HQ613172;HQ613173;HQ613174;HQ613175;HQ613176;HQ613177;HQ613178,Isolation and phylogenetic characterization of bat astroviruses in southern China,"Arch. Virol. 156 (8), 1415-1423 (2011)"
https://pubmed.ncbi.nlm.nih.gov/22855479/,JQ814856;JQ814857;JQ814858;JQ814859;JQ814860;JQ814861;JQ814862;JQ814863;JQ814864;JQ814865;JQ814866;JQ814867;JQ814868;JQ814869;JQ814870;JQ814871,Virome analysis for identification of novel Mammalian viruses in bat species from chinese provinces,"J. Virol. 86 (20), 10999-11012 (2012)"
https://pubmed.ncbi.nlm.nih.gov/23630620/,JX863704;JX863705;JX863706;JX863707;JX863708;JX863709;JX863710;JX863711,Virome profiling of bats from myanmar by metagenomic analysis of tissue samples reveals more novel Mammalian viruses,"PLoS ONE 8 (4), E61950 (2013)"
https://pubmed.ncbi.nlm.nih.gov/24003179/,KC692431;KC692432;KC692433;KC692434;KC692435;KC692436;KC692437,A strategy to estimate unknown viral diversity in mammals,"MBio 4 (5), e00598-13 (2013)"
https://pubmed.ncbi.nlm.nih.gov/24841387/,KC599256,Evidence for retrovirus and paramyxovirus infection of multiple bat species in china,"Viruses 6 (5), 2138-2154 (2014)"
https://pubmed.ncbi.nlm.nih.gov/25034867/,KJ571377;KJ571378;KJ571379;KJ571380;KJ571381;KJ571382;KJ571383;KJ571384;KJ571385;KJ571386;KJ571387;KJ571388;KJ571389;KJ571390;KJ571391;KJ571392;KJ571393;KJ571394;KJ571395;KJ571396;KJ571397;KJ571398;KJ571399;KJ571400;KJ571401;KJ571402;KJ571403;KJ571404;KJ571405;KJ571406;KJ571407;KJ571408;KJ571409;KJ571410;KJ571411;KJ571412;KJ571413;KJ571414;KJ571415;KJ571416;KJ571417;KJ571418;KJ571419;KJ571420;KJ571421;KJ571422;KJ571423;KJ571424;KJ571425;KJ571426;KJ571427;KJ571428;KJ571429;KJ571430;KJ571431,Detection of diverse novel astroviruses from small mammals in China,"J. Gen. Virol. 95 (PT 11), 2442-2449 (2014)"
