title,journal,link
Detection of diverse astroviruses from bats in China,"J. Gen. Virol. 90 (PT 4), 883-887 (2009)",https://pubmed.ncbi.nlm.nih.gov/19264622/
"Substantial viral diversity in bats and rodents from East Africa: insights into evolution, recombination, and cocirculation","Microbiome 12 (1), 72 (2024)",https://pubmed.ncbi.nlm.nih.gov/38600530/
Host traits shape virome composition and virus transmission in wild small mammals,"Cell 186 (21), 4662-4675 (2023)",https://pubmed.ncbi.nlm.nih.gov/37734372/
"Gammaretroviruses, novel viruses and pathogenic bacteria in Australian bats with neurological signs, pneumonia and skin lesions","Virology 586, 43-55 (2023)",https://pubmed.ncbi.nlm.nih.gov/37487325/
Individual bat virome analysis reveals co-infection and spillover among bats and virus zoonotic potential,"Nat Commun 14 (1), 4079 (2023)",https://pubmed.ncbi.nlm.nih.gov/37429936/
"Highly diverse ribonucleic acid viruses in the viromes of eukaryotic host species in Yunnan province, China","Front Microbiol 13, 1019444 (2022)",https://pubmed.ncbi.nlm.nih.gov/36312977/
"Diversity of Astroviruses Circulating in Humans, Bats, and Wild Birds in Egypt","Viruses 12 (5), E485 (2020)",https://pubmed.ncbi.nlm.nih.gov/32357556/
"Investigation of astrovirus, coronavirus and paramyxovirus co-infections in bats in the western Indian Ocean","Virol J 18 (1), 205 (2021)",https://pubmed.ncbi.nlm.nih.gov/34641936/
First Detection of Bat Astroviruses (BtAstVs) among Bats in Poland: The Genetic BtAstVs Diversity Reveals Multiple Co-Infection of Bats with Different Strains,"Viruses 13 (2), 158 (2021)",https://pubmed.ncbi.nlm.nih.gov/33499328/
Characterizing and Evaluating the Zoonotic Potential of Novel Viruses Discovered in Vampire Bats,"Viruses 13 (2), 252 (2021)",https://pubmed.ncbi.nlm.nih.gov/33562073/
Interface between Bats and Pigs in Heavy Pig Production,"Viruses 13 (1), E4 (2020)",https://pubmed.ncbi.nlm.nih.gov/33375071/
"Cameroonian fruit bats harbor divergent viruses, including rotavirus H, bastroviruses, and picobirnaviruses using an alternative genetic code","Virus Evol 4 (1), vey008 (2018)",https://pubmed.ncbi.nlm.nih.gov/29644096/
A viral metagenomic survey identifies known and novel mammalian viruses in bats from Saudi Arabia,"PLoS ONE 14 (4), e0214227 (2019)",https://pubmed.ncbi.nlm.nih.gov/30969980/
Detection and phylogenetic characterization of astroviruses in insectivorous bats from Central-Southern Italy,Zoonoses Public Health (2018) In press,https://pubmed.ncbi.nlm.nih.gov/29896884/
Novel astroviruses in insectivorous bats,"J. Virol. 82 (18), 9107-9114 (2008)",https://pubmed.ncbi.nlm.nih.gov/18550669/
Influence of age and body condition on astrovirus infection of bats in Singapore: An evolutionary and epidemiological analysis,"One Health 4, 27-33 (2017)",https://pubmed.ncbi.nlm.nih.gov/29159263/
"Astroviruses in bats, Madagascar","Emerg Microbes Infect 6 (6), E58 (2017)",https://pubmed.ncbi.nlm.nih.gov/28634357/
Diversity of bat astroviruses in Lao PDR and Cambodia,"Infect. Genet. Evol. 47, 41-50 (2017)",https://pubmed.ncbi.nlm.nih.gov/27871796/
"Characterization and phylogenetic analysis of new bat astroviruses detected in Gabon, Central Africa","Acta Virol. 60 (4), 386-392 (2016)",https://pubmed.ncbi.nlm.nih.gov/27928918/
Amplification of emerging viruses in a bat colony,"Emerging Infect. Dis. 17 (3), 449-456 (2011)",https://pubmed.ncbi.nlm.nih.gov/21392436/
Isolation and phylogenetic characterization of bat astroviruses in southern China,"Arch. Virol. 156 (8), 1415-1423 (2011)",https://pubmed.ncbi.nlm.nih.gov/21573690/
Bat guano virome: predominance of dietary viruses from insects and plants plus novel mammalian viruses,"J. Virol. 84 (14), 6955-6965 (2010)",https://pubmed.ncbi.nlm.nih.gov/20463061/
Detection of diverse novel astroviruses from small mammals in China,"J. Gen. Virol. 95 (PT 11), 2442-2449 (2014)",https://pubmed.ncbi.nlm.nih.gov/25034867/
Evidence for retrovirus and paramyxovirus infection of multiple bat species in china,"Viruses 6 (5), 2138-2154 (2014)",https://pubmed.ncbi.nlm.nih.gov/24841387/
A strategy to estimate unknown viral diversity in mammals,"MBio 4 (5), e00598-13 (2013)",https://pubmed.ncbi.nlm.nih.gov/24003179/
Virome profiling of bats from myanmar by metagenomic analysis of tissue samples reveals more novel Mammalian viruses,"PLoS ONE 8 (4), E61950 (2013)",https://pubmed.ncbi.nlm.nih.gov/23630620/
Virome analysis for identification of novel Mammalian viruses in bat species from chinese provinces,"J. Virol. 86 (20), 10999-11012 (2012)",https://pubmed.ncbi.nlm.nih.gov/22855479/
