GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
NC_011829,HUN,pig,2007,aichivirus C1,swine/S-1-HUN/2007/Hungary,Unknown,feces
MZ334483,DEU,pig,2018,aichivirus C1,FoPro-213.14/GER/2018,Unknown,nasal swab
KP144318,CHN,pig,2013,aichivirus C1,JS-01-CHN/2013/China,Unknown,fecal sample
KJ934637,HUN,Coracias garrulus (European roller),2011,aichivirus A5,SZAL6-KoV/2011/HUN,Unknown,fecal sample
PP930198,VNM,cow,2015,Kobuvirus sp.,Unknown,mt22vf_Cow,rectal swab
PP930156,VNM,pig,2016,Kobuvirus sp.,Unknown,mt35vf_Pig,"rectal swab, feces"
PP930103,VNM,pig,2016,Kobuvirus sp.,Unknown,mt27vf_Pig_B,rectal swab
PP930070,VNM,cow,2016,Kobuvirus sp.,Unknown,mt39vf_Goat_cow_B,rectal swab
PP930066,VNM,dog,2015,Kobuvirus sp.,Unknown,mt33vf_Dog,"rectal swab, feces"
PP930042,VNM,cow,2016,Kobuvirus sp.,Unknown,mt39vf_Goat_cow_A,rectal swab
PP320370,VNM,dog,2022,aichivirus A2,Unknown,V196_VN_2022,rectal swab
PP320369,VNM,dog,2022,aichivirus A2,Unknown,V194_VN_2022,rectal swab
PP320368,VNM,dog,2022,aichivirus A2,Unknown,V180_VN_2022,rectal swab
PP320367,VNM,dog,2022,aichivirus A2,Unknown,V178_VN_2022,rectal swab
PP320366,VNM,dog,2022,aichivirus A2,Unknown,V162_VN_2022,rectal swab
PP320365,VNM,dog,2022,aichivirus A2,Unknown,V156_VN_2022,rectal swab
PP320364,VNM,dog,2022,aichivirus A2,Unknown,V91_VN_2022,rectal swab
PP320363,VNM,dog,2022,aichivirus A2,Unknown,V25_VN_2022,rectal swab
PP320362,VNM,dog,2022,aichivirus A2,Unknown,V5_VN_2022,rectal swab
PP320361,THA,dog,2022,aichivirus A2,Unknown,F8_TH_2022,rectal swab
PP320360,THA,dog,2021,aichivirus A2,Unknown,S81_TH_2021,rectal swab
PP320359,THA,dog,2021,aichivirus A2,Unknown,S76_TH_2021,rectal swab
PP320358,THA,dog,2021,aichivirus A2,Unknown,G50_TH_2021,rectal swab
ON007233,CHN,pig,2019,aichivirus C1,Unknown,XJ1904-34-PKV,Unknown
OM069763,CHN,rat,2020,aichivirus A8,Unknown,SZ-FI6,feces
OM069762,CHN,rat,2020,aichivirus A8,Unknown,SZ22,feces
OM069761,CHN,rat,2020,aichivirus A8,Unknown,SZ59,feces
OM069760,CHN,rat,2021,aichivirus A8,Unknown,SZ70,feces
OM069759,CHN,rat,2021,aichivirus A8,Unknown,SZ86,feces
OM069758,CHN,rat,2021,aichivirus A8,Unknown,SZ132,feces
OM069757,CHN,rat,2021,aichivirus A8,Unknown,SZ144,feces
OM069756,CHN,rat,2021,aichivirus A8,Unknown,SZ155,feces
OM069755,CHN,rat,2021,aichivirus A8,Unknown,SZ157,feces
OM069754,CHN,rat,2021,aichivirus A8,Unknown,SZ158,feces
OM069753,CHN,rat,2021,aichivirus A8,Unknown,SZ171,feces
OM069752,CHN,rat,2021,aichivirus A8,Unknown,SZ172,feces
OM069751,CHN,rat,2021,aichivirus A8,Unknown,SZ188,feces
OM069750,CHN,rat,2021,aichivirus A8,Unknown,SZ190,feces
OM069749,CHN,rat,2021,aichivirus A8,Unknown,SZ193,feces
OM069748,CHN,rat,2021,aichivirus A8,Unknown,SZ202,feces
OM069747,CHN,rat,2021,aichivirus A8,Unknown,SZ203,feces
OM069746,CHN,rat,2021,aichivirus A8,Unknown,SZ208,feces
OM069745,CHN,rat,2021,aichivirus A8,Unknown,SZ227,feces
OM069744,CHN,rat,2021,aichivirus A8,Unknown,SZ249,feces
OM069743,CHN,rat,2021,aichivirus A8,Unknown,SZ252,feces
OM069742,CHN,rat,2021,aichivirus A8,Unknown,SZ262,feces
OM069741,CHN,rat,2021,aichivirus A8,Unknown,SZ290,feces
OM049042,CHN,rat,2020,aichivirus A8,Unknown,SZ-DD6,feces
OM049041,CHN,rat,2020,aichivirus A8,Unknown,SZ-CL6,feces
OM049040,CHN,rat,2020,aichivirus A8,Unknown,SZ-CJ6,feces
OM049039,CHN,rat,2020,aichivirus A8,Unknown,SZ-CE7,feces
OM049038,CHN,rat,2020,aichivirus A8,Unknown,SZ-B13,feces
LC721036,JPN,cat,2019,aichivirus A4,cat/KU22078/Japan/2019,Y-1,feces
MW605074,CAN,cattle,Unknown,aichivirus B1,1043507,Unknown,feces
KJ641686,CHN,bat,2010,aichivirus F1,Unknown,BtMr-PicoV/JX2010,Unknown
MN604700,USA,goat kid,2017,aichivirus C2,Unknown,MN1/2018,feces
MT211964,MEX,pig,2018,aichivirus C1,Unknown,EdoMex/2018/205,intestine
MN337880,DEU,fox,2016,aichivirus A2,S272/16,Unknown,tonsillar tissue
MN336260,USA,cattle,2019,aichivirus B1,IL35164,Unknown,feces
MN449341,CHN,dog,2019,aichivirus A2,Unknown,CaKoV AH-1/CHN/2019,faeces
MK201779,THA,dog,2018,aichivirus A2,CU_716,Unknown,rectal swab
MK201778,THA,dog,2017,aichivirus A2,CU_249,Unknown,rectal swab
MK201777,THA,dog,2016,aichivirus A2,CU_101,Unknown,rectal swab
MK201776,THA,dog,2016,aichivirus A2,CU_53,Unknown,rectal swab
MH159814,CHN,cat,2016,aichivirus A4,Unknown,16JZ0605,domestic cat
MH159813,CHN,cat,2017,aichivirus A4,Unknown,17CC0811,domestic cat
MH747478,BRA,dog,2016,aichivirus A2,CaKoV-26,26,canine pool stool
NC_023422,KOR,black goat,2012,aichivirus C2,Unknown,12Q108,stool
NC_016769,CHN,pig,2010,aichivirus C1,Unknown,SH-W-CHN/2010/China,stool
MF598159,CHN,cat,2017,aichivirus A4,WHJ-1,Unknown,fecal sample
KY407744,EGY,cattle,2014,aichivirus B1,BKoV/EGY-1,Unknown,feces
KY234500,CHN,pig,2015,aichivirus C1,Unknown,JXJC2015,stool
KY234499,CHN,pig,2015,aichivirus C1,Unknown,JXAT2015,stool
KC414936,CHN,pig,2012,aichivirus C1,Unknown,K-11/2012/CH,feces
KT003671,GBR,cattle,2013,aichivirus B1,SC1,Unknown,fecal sample
KM977675,USA,pig,2011,aichivirus C1,Unknown,OH/RV50/2011,fecal sample from piglet
KJ958930,KOR,cat,2012,aichivirus A4,Unknown,12D240,feces
KM051987,CHN,pig,2014,aichivirus C1,CH/KB-1/2014,Unknown,Unknown
AB861494,JPN,dog,2004,Kobuvirus sewage Aichi,Y12/2004,Unknown,sewage
KM068051,TZA,spotted hyena,2010,aichivirus A2,Unknown,B103,feces
KM068050,TZA,golden jackal,2011,aichivirus A2,Unknown,75,feces
KM068049,TZA,side-striped jackal,2010,aichivirus A2,Unknown,82,feces
KM068048,TZA,dog,2003,aichivirus A2,Unknown,DD2,feces
KF924623,KOR,dog,2012,aichivirus A2,Unknown,12D049,stool
KF539763,CHN,pig,2012,aichivirus C1,Unknown,swKoV CH441,fecal sample
KJ452348,CHN,pig,2012,aichivirus C1,Unknown,CH/DX/2012,fecal
AB624493,THA,pig,2007,aichivirus C1,CMP06/07-THA,Unknown,stool
KC424640,CHN,pig,2012,aichivirus C1,Unknown,GS-2/2012/CH,feces
KC424639,CHN,pig,2012,aichivirus C1,Unknown,GS-1/2012/CH,feces
KC424638,CHN,pig,2012,aichivirus C1,Unknown,K-4/2012/CH,feces
