Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,BioProject,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Host,lat_lon,isolation_source,Sample_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,Scientific_Name,Submitter_Id,ENA_first_public,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),geographic_location_(country_and/or_sea),source_material_id,isolate,env_broad_scale,env_local_scale,env_medium,Location_Province,ArrayExpress-SPECIES,common_name,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,external_id,INSDC_first_public,INSDC_last_update,sample_description,samp_mat_process,Sample_Barcode,Sample_index,strain,ref_biomaterial,source_uvig,virus_enrich_appr,host_subject_id,Host_Age,host_sex,host_common_name,isol_growth_condt,propagation,project_name,broad-scale_environmental_context,environmental_medium,geographic_location_(latitude),geographic_location_(longitude),local_environmental_context,collected_by,tissue,Broker_name,env_biome,env_feature,env_material,No_of_samples,Biological_Replicate,host_scientific_name,lab_host,host_taxid,host_tissue_sampled,specimen_voucher,misc_param,exp_id,expected_source,host_body_product,host_tot_mass,manuscript_id,samp_capt_status,samp_collect_device,fasta_file (run),sample_type,sex,BREED,Cultivar,dev_stage,ecotype,sub_species,samp_size,Library_ID,rel_to_oxygen,Detail_ID,replicate,SUBMISSION_TOOL (exp),SUBMISSION_TOOL (run),submission_tool,SUBMISSION_TOOL_VERSION (exp),SUBMISSION_TOOL_VERSION (run),SUBMISSION_TOOL_VERSION,genbank_accession,sequencing_approach,matrix_type,organism_spiked_and_spike_in_level,Host_disease,virus_enrich_app,experimental_factor,sample_ID,specific_host,additional_component_added_to_sample,altitude,BIOME,env_package,feature,Investigation_type,Label,material,sample_comment,spike_in_level_of_influenza_a_virus
SRR31363909,WGS,286,474453275,SAMN44728217,173166448,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737675,Illumina MiSeq,G11,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T17:09:00Z,1,G11,SRP545520,PRJNA1185806,2022,Nigeria,Africa,Nigeria: Idanre-Ondo State,Viral,Rousettus aegyptiacus,,Rectal swab,,,,,,,,,,,,,BtSaV/A25G11/IDANRE/NGR/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363910,WGS,299,598547547,SAMN44728216,221765048,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737674,Illumina MiSeq,G10,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:06:00Z,1,G10,SRP545520,PRJNA1185806,2022,Nigeria,Africa,Nigeria: Idanre-Ondo State,Viral,Rousettus aegyptiacus,,Rectal swab,,,,,,,,,,,,,BtSaV/k141G10/IDANRE/NGR/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363911,WGS,298,57040761,SAMN44727980,34122192,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737673,Illumina MiSeq,GB09_S6_L001,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-17T00:00:00Z,2024-11-17T09:02:00Z,1,GB09,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: Gboko-Benue state,Viral,Mops condylurus,,Rectal swab,,,,,,,,,,,,,BtSaV/A2GB9/GBOKO/NGR/2020; BtSaV/A3GB9/GBOKO/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363912,WGS,274,545825235,SAMN44727979,219057341,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737672,NextSeq 500,B23,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:06:00Z,1,B23/BT/OAU/17,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: OAU-Osun state,Viral,Eidolon helvum (Straw-coloured fruit bat),,Rectal swab,,,,,,,,,,,,,BtSaV/A277B23/OAU/NGR/2020; BtSaV/A583B23/OAU/NGR/2020; BtSaV/A904B23/OAU/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363913,WGS,263,1442370106,SAMN44727972,539922913,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737671,NextSeq 500,B17,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:08:00Z,1,B17/BT/OAU/11,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: OAU-Osun state,Viral,Eidolon helvum (Straw-coloured fruit bat),,Rectal swab,,,,,,,,,,,,,BtSaV/A43B17/OAU/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363915,WGS,262,1999890164,SAMN44727893,806513108,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737669,NextSeq 500,B14,SINGLE,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:07:00Z,1,B14/BT/OAU/8,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: OAU-Osun state,Viral,Eidolon helvum (Straw-coloured fruit bat),,Rectal swab,,,,,,,,,,,,,BtSaV/A11B14/OAU/NGR/2020; BtSaV/A12B14/OAU/NGR/2020; BtSaV/A26B14/OAU/NGR/2020; BtSaV/A97B14/OAU/NGR/2020; BtSaV/A347B14/OAU/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363916,WGS,262,1959647743,SAMN44727888,782863038,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737668,NextSeq 500,B12,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:07:00Z,1,B12/BT/OAU/6,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: OAU-Osun state,Viral,Eidolon helvum (Straw-coloured fruit bat),,Rectal swab,,,,,,,,,,,,,BtSaV/A128B12/OAU/NGR/2020; BtSaV/A141B12/OAU/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR31363917,WGS,266,1694872043,SAMN44727494,668377509,REDEEMERS UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX26737667,NextSeq 500,B8,PAIRED,RANDOM,VIRAL RNA,Bat sapovirus,ILLUMINA,2024-11-15T00:00:00Z,2024-11-15T16:07:00Z,1,B8/BT/OAU/2,SRP545520,PRJNA1185806,2020,Nigeria,Africa,Nigeria: OAU-Osun state,Viral,Eidolon helvum (Straw-coloured fruit bat),,Rectal swab,,,,,,,,,,,,,BtSaV/A12B8/OAU/NGR/2020; BtSaV/A13B8/OAU/NGR/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR14656582,WGS,300,2641195500,SAMEA117758826,762610740,EARTH HOLOGENOME INIATIATIVE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX14058367,Illumina NovaSeq 6000,ACB56E3L1I1,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2025-05-31T00:00:00Z,2025-06-04T00:13:00Z,1,SAMEA117758826,ERP161386,PRJEB76898,2021-07-11,Spain,Europe,,,,,,EHI02090,2025-05-31,2025-05-31,Earth Hologenome Iniatiative,public,feces metagenome,EHI02090,2025-05-31,4.0,4.0,Spain,,,,,,,,,,,,,,,,,,,,,,SD00496,,,Brown longe-eared bat,,,PRJEB76898,1000221 - Temperate woodland,animal,42.98,-6.36,"Mix Deciduous Forest\, Botton Valley",,,,,,,,,,,61862.0,,,,,,,,,,,,,,,,,,,,,,,,ena-upload-cli,ena-upload-cli,ena-upload-cli,0.8.0,0.8.0,0.8.0,,,,,,,,,,,,,,,,,,,
ERR14656588,WGS,300,7745822400,SAMEA117758832,2244515556,EARTH HOLOGENOME INIATIATIVE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX14058373,Illumina NovaSeq 6000,ACB61E3L1I1,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2025-05-31T00:00:00Z,2025-06-04T00:22:00Z,1,SAMEA117758832,ERP161386,PRJEB76898,2021-07-11,Spain,Europe,,,,,,EHI02084,2025-05-31,2025-05-31,Earth Hologenome Iniatiative,public,feces metagenome,EHI02084,2025-05-31,4.0,4.0,Spain,,,,,,,,,,,,,,,,,,,,,,SD00501,,,Brown longe-eared bat,,,PRJEB76898,1000221 - Temperate woodland,animal,42.98,-6.36,"Mix Deciduous Forest\, Botton Valley",,,,,,,,,,,61862.0,,,,,,,,,,,,,,,,,,,,,,,,ena-upload-cli,ena-upload-cli,ena-upload-cli,0.8.0,0.8.0,0.8.0,,,,,,,,,,,,,,,,,,,
