Collection_Date,count
2022-06-27,233
2022-07-24,218
2020-05-28,164
2022-06-20,130
2022-07-20,129
2022-07-22,122
2022-07-03,118
2020-06-24,99
2020-05-27,86
2022-08-22,86
2020-07-10,84
2022-04-26,81
2013-05-20,78
2022-04-22,78
2022-04-20,77
2020-07-08,75
2021-03-20,75
2022-07-25,73
2022-06-15,72
2013-06-19,71
2022-06-16,71
2022-09-04,68
2014,66
2020-07-22,65
2022-09-03,65
2022-07-21,63
2017-02,60
2020-04-29,55
2020-08-19,53
2020-08-05,52
missing: control sample,50
2020-06-10,50
2020-07-07,47
2022-09-19,46
2020-06-14,45
2020,44
2009-11-08,42
2009-12-09,42
2022-07-23,37
2022-04-24,36
2020-09-17,35
2020-05-13,33
2012-07-31,33
2022-06-26,32
2022-09-21,32
2022-08-14,29
2020-06-12,28
2020-09-03,24
2022-06-25,24
2018,22
2022-06-24,21
2022-05-25,21
2021-05-22,20
2022-04-25,20
2022-08-26,20
2022-06-19,20
2015,19
2020-09-21,19
2020-05-24,19
2008-07-03,18
2022-06-17,17
2020-05-29,16
2020-07-06,16
2019,16
2022-07-02,16
2022-09-17,16
2022-09-23,16
2022-09-22,16
2022-06-14,16
2022-09-05,16
2022,15
not collected,15
2009-09-21,15
2022-07-16,15
2022-09-24,15
2025-09-10,15
2020-05-26,14
2022-07-10,13
2023-05-24,13
2023-08,12
2017,12
2022-08-27,12
2022-09-07,12
2020-10-01,11
2008-07-05,11
2022-07-11,11
2008-07-02,10
2020-09-20,10
2022-06-08,10
2020-07-14,9
2016,9
2008,9
2009,9
2018-03,9
2022-09-20,9
2023-10-23,8
2020-07-27,8
2020-05-20,8
2020-05-06,8
2022-04-19,8
2022-03-30,8
2022-06-30,8
2022-04-21,8
2022-07-09,8
2022-09-26,8
2022-09-06,8
2022-07-19,7
2022-06-11,7
2021-07-11,6
2023-10-19,6
2023-10-26,6
2022-08-17,6
2015-08-20,6
2023-11-14,6
2020-09-24,5
2023-10-20,5
2019-02,5
2021-10,5
2015-08-09,5
2015-11-16,5
not applicable,5
2023-12-01,5
2023-11-17,5
2023-11-16,5
2020/2023,5
2022-08-12,5
2023-10-24,4
2021-07-21,4
2020-05-25,4
2021-12,4
2015-08-18,4
2015-10-22,4
2020-06-01,4
2019-02-01,4
2020-08-11,4
2023-11-09,4
2023-12-14,4
2023-11-21,4
2023-11-13,4
2022-09-16,4
2025-05-21,4
2020-08-18,3
2023-10-25,3
2020-08-24,3
2020-07-21,3
2021-07-14,3
2020-04-18,3
2020-07-28,3
2015/2017,3
2013/2016,3
2020-11-28,3
2021-04,3
2021-03,3
2020-07-05,3
2020-09-18,3
2015-08-07,3
2015-08-08,3
2015-07-08,3
2014-07-24,3
2020-06-19,3
2008-07-06,3
2024-01-04,3
2023-12-06,3
2023-11-22,3
2023-10-18,3
2024-03-07,3
2024-02-14,3
2024-02-05,3
2022-07-28,3
2022-07-27,3
2022-07-26,3
2022-08-25,3
2022-08-18,3
2022-08-29,3
2019-02-14,2
2023-05-05,2
2023-10-17,2
2023-10-27,2
2022-08-01/2022-08-16,2
2020-09-07,2
2020-07-29,2
2020-06-03,2
2013/2017,2
2009/2012,2
2012,2
2008/2012,2
2009/2011,2
2011,2
2021-08,2
2021-01,2
2020-09-11,2
2019-06-25,2
2015-08-26,2
2013-05-30,2
2015-06-06,2
2015-11,2
2015-08-19,2
2020-06-20,2
2016-01-09,2
2024-01-30,2
2024-01-03,2
2024-01-19,2
2024-01-05,2
2023-11-01,2
2023-11-07,2
2023-11-24,2
2024-02-19,2
2024-02-15,2
2022/2023,2
2019-03-24,2
2023-04,2
2022-03-29,2
2022-07-01,2
2022-07-07,2
2022-09-25,2
2023-07-06,2
2023-07-04,2
2023-07-26,2
2023-08-09,2
2023-12-13,2
2022-08-30,2
2025-05-26,2
2025-06-09,2
2025-06-01,2
2025-06-04,2
2025-06-20,2
2022-08-28,2
2022-06-21,2
2022-06-18,2
2025-05-13,2
2025-06-17,2
2020-09-19,1
2020-09-28,1
2020-09-30,1
2018-04-21,1
2019-10-24,1
2018-07-27,1
2018-07-29,1
2020-03-06,1
2019-09-04,1
2019-08-30,1
2021-03-15,1
2023-06-17,1
2023-11-03,1
2023-10-30,1
2023-10-21,1
2023-09-28,1
2022-06-02/2022-08-21,1
2022-08-21,1
2022-06-06/2022-08-03,1
2022-10-10,1
2022-06-09/2022-09-28,1
2022-06-01/2022-06-02,1
2022-05-26/2022-06-01,1
2022-08-15/2022-08-16,1
2022-06-03,1
2022-08-01,1
2022-06-02/2022-08-16,1
2022-06-19/2022-08-17,1
2022-07-30/2022-08-15,1
2022-06-01/2022-06-03,1
2020-08-13,1
2020-08-10,1
2020-07-20,1
2020-08-17,1
2019-11-07,1
2019-10-22,1
2019-07-11,1
2019-05-06,1
2015/2016,1
2017/2018,1
2021,1
2013,1
2017-06-04,1
2021-08-22,1
2021-08-11,1
2021-11-05,1
2021-07-08,1
2020-10-05,1
2020-09-26,1
2021-08-27,1
2021-09-27,1
2020-10-09,1
2020-10-08,1
2021-03-01/2021-06-30,1
2011-06-22,1
2021-06,1
2021-02,1
2023-03-18,1
2018-06-03,1
2016-12-30,1
2016-12-29,1
2016-02-28,1
2011-09-27,1
2018-08-15,1
2013-12-03,1
2020-05-18,1
2020-09-29,1
2020-03-20,1
2016-06-25,1
2016-06-09,1
2015-08,1
2015-06-03,1
2015-11-18,1
2015-07-07,1
2015-06-04,1
2015-08-11,1
2015-11-17,1
2015-07-27,1
2015-06-27,1
2010,1
2020-02-01,1
2019-06-01,1
2020-07,1
2015-07,1
2012-04-18,1
2015-08/2016-12,1
2011-05-13,1
2023-02-21,1
2009-11-09,1
2024-01-16,1
2024-01-23,1
2024-01-18,1
2024-01-17,1
2024-01-22,1
2024-01-15,1
2024-01-09,1
2024-01-12,1
2024-01-10,1
2023-10-22,1
2023-12-28,1
2024-01-02,1
2023-12-24,1
2023-12-18,1
2023-12-15,1
2023-11-29,1
2023-11-30,1
2023-11-28,1
2023-11-06,1
2023-10-16,1
2023-11-18,1
2023-11-15,1
2024-02-29,1
2024-03-18,1
2024-03-11,1
2024-03-09,1
2024-02-23,1
2024-02-28,1
2024-02-16,1
2024-02-20,1
2024-02-06,1
2024-02-08,1
2024-02-01,1
2024-01-29,1
2023-10-10,1
2023-10-09,1
2023-10-06,1
2020/2021,1
2020/2022,1
2021/2022,1
2008/2023,1
2019-02-28,1
2019-02-04,1
2019-01-11,1
2018-12-18,1
2018-11-24,1
2018-10-31,1
2019-04-29,1
2019-04-17,1
2018-10-07,1
2018-09-13,1
2022-07-12,1
2023-08-13,1
2023-06-30,1
2022-08-10,1
2023-06-29,1
2023-07-14,1
2022-08-08,1
2023-06-26,1
2023-08-25,1
2024-04-11,1
2024-08-21,1
2023-04-09,1
2022-05-21,1
2022-05-19,1
2024-01,1
2023-07,1
2025-06-10,1
2025-06-11,1
2025-06-08,1
2025-06-25,1
2025-06-19,1
2025-06-14,1
2022-02-17,1
2025-06-23,1
2025-06-06,1
