BioProject,count
PRJNA1304170,2326
PRJEB90539,983
PRJNA1083756,745
PRJNA1207722,603
PRJNA994658,378
PRJNA1205703,150
PRJNA929070,149
PRJNA901878,120
PRJEB6505,90
PRJNA997461,73
PRJNA487099,72
PRJNA693645,63
PRJNA491626,63
PRJNA561193,62
PRJNA574765,60
PRJNA1074704,45
PRJNA525109,41
PRJNA954561,36
PRJNA1234894,30
PRJEB103765,26
PRJNA344863,25
PRJNA953205,22
PRJNA626677,21
PRJNA1108654,19
PRJNA707649,19
PRJNA1204523,18
PRJNA1013252,17
PRJNA851532,16
PRJNA1399168,15
PRJNA965809,14
PRJNA1249517,14
PRJNA1165772,14
PRJNA1087330,12
PRJNA562472,11
PRJNA1221590,11
PRJNA1062728,10
PRJNA755866,10
PRJNA565775,10
PRJNA1063490,9
PRJNA1185806,9
PRJNA930603,9
PRJNA1016070,9
PRJNA606159,9
PRJNA796968,9
PRJNA325503,9
PRJNA720531,8
PRJNA835632,8
PRJEB76898,6
PRJNA812346,6
PRJNA1267097,5
PRJNA718116,5
PRJNA823716,5
PRJNA833201,5
PRJNA689713,5
PRJNA494391,5
PRJNA1387396,5
PRJNA292888,4
PRJNA948464,3
PRJNA1276114,3
PRJNA706167,3
PRJNA352141,3
PRJNA1336996,3
PRJNA1184956,2
PRJNA887590,2
PRJNA1120645,2
PRJNA656060,2
PRJNA823526,2
PRJNA377355,2
PRJNA1310159,2
PRJNA1027129,1
PRJNA906729,1
PRJNA1096154,1
PRJNA637211,1
PRJNA755887,1
PRJNA699333,1
PRJNA272739,1
PRJNA433098,1
PRJNA574024,1
PRJNA795992,1
PRJDB31,1
PRJNA224954,1
PRJNA516387,1
PRJNA218570,1
PRJNA1210821,1
PRJNA1240787,1
