,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,isolation_source,HOST,lat_lon,isolate,source_material_id,sample_type,strain,env_broad_scale,env_local_scale,env_medium,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Sample_name,Scientific_Name,INSDC_center_name,INSDC_status,Submitter_Id,common_name,ena_first_public,ena_last_update,external_id,INSDC_first_public,INSDC_last_update,ArrayExpress-SPECIES,sample_description,samp_mat_process,ref_biomaterial,collected_by,tissue,source_uvig,virus_enrich_appr,replicate,host_subject_id,project_name,host_common_name,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host_tissue_sampled,broad-scale_environmental_context,ENA_first_public,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,local_environmental_context,Broker_name,Biological_Replicate,host_scientific_name,lab_host,fasta_file (run),host_taxid,isol_growth_condt,propagation,Host_Age,host_sex,specimen_voucher,host_body_product,host_tot_mass,misc_param,samp_capt_status,sex,BREED,Cultivar,dev_stage,ecotype,sub_species,sequencing_approach,actual_read_length (run),Investigation_type,library_id,RUN (run),total_bases (run),Host_disease,environment_(biome),environment_(feature),environment_(material),host-associated_environmental_package,Sequencing_method,samp_collect_device,SUBMISSION_TOOL (exp),SUBMISSION_TOOL (run),submission_tool,SUBMISSION_TOOL_VERSION (exp),SUBMISSION_TOOL_VERSION (run),SUBMISSION_TOOL_VERSION,genbank_accession,samp_size,sampleNumber,specific_host,virus_enrich_app,altitude,BIOME,env_package,experimental_factor,feature,identified_by,label,material,sample_ID,Host_Diet,organism,rel_to_oxygen
346,SRR27912332,WGS,298,1791628746,PRJNA1074704,SAMN39879841,756283095,UNIVERSITAT DE VALENCIA,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23571909,NextSeq 550,P11,PAIRED,other,METAGENOMIC,bat gut metagenome,ILLUMINA,2024-07-03T00:00:00Z,2024-02-08T10:59:00Z,1,P11,SRP488891,2022-08-03/2022-08-17,Spain,Europe,Spain: Lugo and Salamanca,Metagenome or environmental,Bat guano,Myotis daubentonii,not provided,,P11,,,,,,,,,,,,,,,,,,,,,"Pool of 11 fecal samples homogenized in a Precellys Evolution tissue homogenizer (Bertin) in 2 mL tubes with 1.4 mm ceramic beads\, adding 1 volume of 1x PBS to obtain a final volume of 1.5 mL. Indiana Vesiculovirus and Vaccinia Virus were spiked in to ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,SRR13494274,OTHER,151,2364809792,PRJNA693645,SAMN17393234,975712639,UNIVERSITY OF ZURICH (UZH),public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9906438,NextSeq 500,20191014.A-JKXVIII32,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:47:00Z,1,JKXVIII32,SRP302618,2019,Switzerland,Europe,Switzerland: Aargau,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis myotis,missing,,,,,feces colony 16,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,SRR13494287,OTHER,151,888037795,PRJNA693645,SAMN17393222,367481859,UNIVERSITY OF ZURICH (UZH),public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9906425,NextSeq 500,20191014.A-JKXVIII20,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:43:00Z,1,JKXVIII20,SRP302618,2019,Switzerland,Europe,Switzerland: Luzern,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis myotis,missing,,,,,feces colony 4,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,SRR13494363,OTHER,151,826219452,PRJNA693645,SAMN17393240,346779329,UNIVERSITY OF ZURICH (UZH),public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9906349,NextSeq 500,20191014.A-JKXVIII38,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:42:00Z,1,JKXVIII38,SRP302618,2019,Switzerland,Europe,Switzerland: Solothurn,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis myotis,missing,,,,,feces colony 22,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,SRR13494422,OTHER,101,584544469,PRJNA693645,SAMN17393130,171885029,UNIVERSITY OF ZURICH (UZH),public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9906290,Illumina NovaSeq 6000,20200131.A-Libraryp3103IH2_IH002_19,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:42:00Z,1,IH002_19,SRP302618,2019,Switzerland,Europe,Switzerland: Zurich,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis daubentonii,missing,,,,,feces pool,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,SRR13494426,OTHER,101,1058244165,PRJNA693645,SAMN17393127,296232753,UNIVERSITY OF ZURICH (UZH),public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9906286,Illumina NovaSeq 6000,20200131.A-Libraryp3103IH2_IH002_16,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:44:00Z,1,IH002_16,SRP302618,2019,Switzerland,Europe,Switzerland: Zurich,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Pipistrellus pipistrellus,missing,,,,,feces pool,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,SRR13494437,OTHER,101,1533145761,PRJNA693645,SAMN17393117,429147269,UNIVERSITY OF ZURICH (UZH),public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9906275,Illumina NovaSeq 6000,20200131.A-Libraryp3103IH2_IH002_06,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:44:00Z,1,IH002_06,SRP302618,2019,Switzerland,Europe,Switzerland: Aargau,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis nattereri,missing,,,,,feces colony,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,SRR13494442,OTHER,101,2873957424,PRJNA693645,SAMN17393112,807436937,UNIVERSITY OF ZURICH (UZH),public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9906270,Illumina NovaSeq 6000,20200131.A-Libraryp3103IH2_IH002_01,SINGLE,RANDOM,METAGENOMIC,bat metagenome,ILLUMINA,2021-01-21T00:00:00Z,2021-01-21T02:49:00Z,1,IH002_01,SRP302618,2019,Switzerland,Europe,Switzerland: Jura,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",,Myotis myotis,missing,,,,,feces colony 2,missing,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,SRR24113076,RNA-Seq,300,8155693200,PRJNA953205,SAMN34109629,3112067043,FUDAN UNIVERSITY,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX19912570,Illumina NovaSeq 6000,JSBC-Mchin,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2023-11-01T00:00:00Z,2023-04-09T22:17:00Z,1,JSBC-Mchin,SRP431665,2016/2017,China,Asia,"China: JIngmen\, Hubei",Metagenome or environmental,feces,Myotis_chinensis,Not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jingmen_Myotis_chinensis_G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,SRR24113097,RNA-Seq,300,9051617100,PRJNA953205,SAMN34109753,2867497877,FUDAN UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX19912548,Illumina NovaSeq 6000,YJBC-HuaNan,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2023-11-01T00:00:00Z,2023-04-09T22:16:00Z,1,YJBC-HuaNan,SRP431665,2016/2017,China,Asia,"China: Wenzhou\, Zhejiang",Metagenome or environmental,feces,Myotis_laniger,Not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wenzhou_Myotis_laniger_G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
