Host	count
Homo sapiens	4299
Rattus norvegicus	534
Sus scrofa	476
Sus scrofa domesticus	443
Gallus gallus	377
swine	339
chicken	281
goose	272
turkey	269
cattle	248
Canis lupus familiaris	245
pig	235
Miniopterus schreibersii	177
Miniopterus magnater	150
Taphozous melanopogon	112
Meleagris gallopavo	107
Mus musculus	104
Felis catus	97
Macaca mulatta	96
Hipposideros sp. (bat)	87
Mus musculoides	84
Rattus tanezumi	78
wild boar	78
Eothenomys cachinus	75
Bos taurus	72
bovine	72
porcine	71
Hipposideros larvatus	68
Rattus rattus	68
Rattus losea	64
Triaenops persicus	63
domestic pig	60
Mormopterus francoismoutoui	57
Sus scrofa (domestic pig)	56
Sus scrofa (wild boar)	51
goat	51
Scotophilus kuhlii	48
canine	48
Myotis horsfieldii	47
domestic cat	44
Guinea fowl	44
duck	40
Myotis ricketti	40
Eonycteris spelaea	40
Hipposideros armiger	39
Hipposideros pomona	38
Sus scrofa (swine)	36
dog	35
Gallus gallus domesticus (broiler)	35
Rhinolophus sinicus	34
Miniopterus fuliginosus	34
cow	34
Hipposideros caffer	33
Rhinolophus sp. (bat)	33
Cow	33
Rhinolophus affinis	32
Pteropus giganteus	32
poultry	31
Anas platyrhynchos	30
Miniopterus inflatus	29
Miniopterus pusillus	28
Mormopterus francoismoutoui (Reunion Free-tailed Bat)	27
bat	26
Suncus murinus	25
Miniopterus schreibersi	25
Pekin duck	25
Columba livia	24
Bos mutus	24
Rattus sp.	24
Rhinolophus ferrumequinum	23
Homo sapiens 1 year 6 months old baby boy	23
rat	22
Meleagris gallopavo domesticus	22
Procambarus clarkii	22
Hipposideros lekaguli	22
domestic cat with diarrhea	22
Scotophilus sp.	22
Anas acuta	21
Myotis daubentonii	21
commercial broiler	21
Capra hircus	20
Gallus gallus domesticus	20
Tursiops truncatus	20
Myotis nattereri	20
environment	19
buffalo	19
Triaenops afer	19
Numida meleagris	19
Pipistrellus pipistrellus	18
Myotis fimbriatus	18
sheep	17
Nyctalus noctula	17
Domestic goat	17
Mastomys sp.	17
Myotis chinensis	16
Taphozous melanopogon; sex: female (pregnant)	16
Camelus bactrianus	16
Chicken	16
Eidolon helvum	16
Hystrix brachyura	16
Rousettus sp.	16
Chroicocephalus ridibundus	15
Duck	15
Anas crecca	15
Anser indicus	15
Swine	15
pigeon	14
Zalophus californianus (California sea lion)	14
Urva auropunctata	14
Sus scrofa domesticus (pig)	14
water buffalo	14
Rousettus leschenaultii	13
Anser anser	13
Neogale vison	13
Camelus dromedarius	13
shellfish	13
Niviventer eha	13
Praomys tullbergi	13
mink	13
