Collection_Date,count
2020,44
2024-04-18,35
2023-05-24,20
2019,17
2022,15
2015,15
2025-09-10,15
2023-08,12
missing,10
2017,10
2016,10
2022-10-01,10
2022-07,10
2018,9
2009,9
2019-07,9
2023-10-23,8
2023-09,8
2023-05-05,7
2023,7
2023-10-19,6
2023-10-26,6
2023-02-27,6
2021-07-11,6
2023-11-14,6
2019-02,5
2008,5
2022-10,5
2019-11,5
2020-09-24,5
2023-10-20,5
2023-12-01,5
2023-11-17,5
2023-11-16,5
2023-02-13,4
2015/2017,4
2019-08,4
2021-07-21,4
2023-10-27,4
2023-10-24,4
2020-05-25,4
2021-12,4
2020-06-01,4
2019-02-01,4
2023-11-09,4
2023-11-21,4
2023-11-13,4
2025-05-21,4
2014,3
2013/2016,3
2022-11,3
2020-08-18,3
2021-07-14,3
2020-08-24,3
2020-07-21,3
2023-10-25,3
2020-04-18,3
2020-07-28,3
2021-10,3
2021-04,3
2021-03,3
2012-06-15,3
2012-01-18,3
2022-07-21,3
2022-08-29,3
2023-01-23,3
2020-07-10,3
2020-07-07,3
2020-06-19,3
2020-09-18,3
2020-11-28,3
2024-01-04,3
2023-12-06,3
2023-11-22,3
2023-10-18,3
2024-03-07,3
2024-02-14,3
2024-02-05,3
2013/2017,2
2013,2
2023-06-17,2
2020-10-01,2
2019-02-14,2
2020-09-07,2
2023-10-17,2
2011,2
2022-08-01/2022-08-16,2
2020-07-29,2
2020-06-03,2
2021-08,2
2021-01,2
2019-03-24,2
2020-09-11,2
2022-07-23,2
2022-08-30,2
2023-04,2
2023-03-27,2
2019-06-25,2
not applicable,2
2020-07-05,2
2020-06-20,2
2013-05-30,2
2020-09-21,2
2024-01-30,2
2024-01-03,2
2024-01-19,2
2024-01-05,2
2023-11-01,2
2023-11-07,2
2023-11-24,2
2024-02-19,2
2024-02-15,2
2023-08-24,2
2023-05-20,2
2025-05-13,2
2025-06-17,2
2025-06-09,2
2025-06-20,2
2025-05-26,2
2025-06-01,2
2025-06-04,2
2010-06-06,1
2011-05-13,1
2012-04-18,1
2021-03-01/2021-06-30,1
2015/2016,1
2017/2018,1
2021,1
2021-03-15,1
2023-05-06,1
2020-09-19,1
2020-09-28,1
2020-09-30,1
2018-04-21,1
2019-10-24,1
2018-07-27,1
2018-07-29,1
2020-03-06,1
2019-09-04,1
2019-08-30,1
2020-08-17,1
2020-08-13,1
2020-08-10,1
2020-07-20,1
2023-11-03,1
2023-10-30,1
2023-10-21,1
2023-09-28,1
2017-06-04,1
2022-06-02/2022-08-21,1
2022-08-21,1
2022-06-06/2022-08-03,1
2022-08-17,1
2022-10-10,1
2022-06-09/2022-09-28,1
2022-06-01/2022-06-02,1
2022-05-26/2022-06-01,1
2022-08-15/2022-08-16,1
2022-06-03,1
2022-08-01,1
2022-06-02/2022-08-16,1
2022-06-19/2022-08-17,1
2022-07-30/2022-08-15,1
2022-06-01/2022-06-03,1
2019-11-07,1
2019-10-22,1
2020-07-14,1
2019-07-11,1
2019-05-06,1
2021-06,1
2021-02,1
2019-02-28,1
2019-02-04,1
2019-01-11,1
2018-12-18,1
2018-11-24,1
2018-10-31,1
2019-04-29,1
2019-04-17,1
2018-10-07,1
2018-09-13,1
2012-07-19,1
2012-12-15,1
2023-03-18,1
2023-07,1
2022-07-20,1
2022-09-19,1
2022-05-21,1
2022-05-19,1
2023-02-21,1
2022-09-13,1
2024-04-11,1
2024-08-21,1
2023-04-09,1
2011-06-22,1
2020-02-01,1
2019-06-01,1
2020-07,1
2010,1
2015-08/2016-12,1
2018-08-15,1
2011-09-27,1
2018-06-03,1
2016-12-30,1
2016-12-29,1
2016-02-28,1
2015-08-26,1
2013-12-03,1
2016-06-25,1
2016-06-09,1
2020-10-09,1
2020-10-08,1
2021-08-22,1
2021-08-11,1
2021-11-05,1
2021-07-08,1
2020-10-05,1
2020-09-17,1
2020-09-26,1
2021-08-27,1
2021-09-27,1
2020-05-18,1
2020-09-29,1
2020-03-20,1
2024-01-16,1
2024-01-23,1
2024-01-18,1
2024-01-17,1
2024-01-22,1
2024-01-15,1
2024-01-09,1
2024-01-12,1
2024-01-10,1
2023-10-22,1
2023-12-28,1
2024-01-02,1
2023-12-24,1
2023-12-18,1
2023-12-15,1
2023-12-14,1
2023-11-29,1
2023-11-30,1
2023-11-28,1
2023-11-06,1
2023-10-16,1
2023-11-18,1
2023-11-15,1
2024-02-29,1
2024-03-18,1
2024-03-11,1
2024-03-09,1
2024-02-23,1
2024-02-28,1
2024-02-16,1
2024-02-20,1
2024-02-06,1
2024-02-08,1
2024-02-01,1
2024-01-29,1
2023-10-10,1
2023-10-09,1
2023-10-06,1
2023-06-22,1
2025-06-23,1
2025-06-06,1
2025-06-10,1
2025-06-11,1
2025-06-08,1
2025-06-25,1
2025-06-19,1
2025-06-14,1
