Образец	Страна	Год	Хозяин	Длина контига, нт	Профиль	Идентичность, %	Длина выравнивания, амк	Мисматчи, амк	Начало контига	Конец контига	Начало референса	Конец референса	Длина референса, амк	Покрытие контига, %	Покрытие референса, %	E-value	Bit-score	Бласт хит	Инфо	Источник
SRR14195380	Denmark	2014	Myotis daubentonii	2963	Parechovirus|3A_3B_3C_3D	63.4	382	139	1576	2718	2	383	385	38.6	99.2	3.46e-182	535.0	YP_009330107.1 hypothetical protein 2 [Hubei sobemo-like virus 42]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	494	Crohivirus|polyprotein	57.6	139	58	418	2	1234	1371	2823	84.4	4.9	8.60e-48	168.0	YP_009336629.1 hypothetical protein [Hubei arthropod virus 1]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	304	Parechovirus|2A_2B_2C	36.5	85	51	259	11	1499	1582	3175	81.9	2.6	5.64e-08	52.0	YP_009505599.1 polyprotein [Nilaparvata lugens honeydew virus 1]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	281	Crohivirus|polyprotein	53.1	64	30	6	197	1789	1852	2094	68.3	3.1	3.31e-19	83.6	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	301	Astroviridae|2	41.6	77	40	230	6	241	314	707	74.8	10.5	4.64e-10	57.8	YP_009664786.1 capsid protein precursor [Mamastrovirus 16]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1052	Kunsagivirus|polyprotein	53.9	310	143	1045	116	39	348	348	88.4	89.1	3.01e-115	340.0	YP_009329983.1 hypothetical protein 2 [Hubei sobemo-like virus 9]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	606	Parechovirus|polyprotein_custom	35.6	202	125	606	7	1907	2105	2603	99.0	7.6	4.59e-27	110.0	YP_009336819.1 hypothetical protein [Shahe picorna-like virus 10]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1400	Parechovirus|3A_3B_3C_3D	39.3	394	217	119	1264	22	405	441	81.9	87.1	1.94e-79	256.0	YP_009337376.1 hypothetical protein 2 [Wenzhou sobemo-like virus 4]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	357	Cosavirus|polyprotein	68.4	38	12	114	1	57	94	347	31.9	11.0	1.37e-11	62.8	YP_009330088.1 hypothetical protein 2 [Hubei sobemo-like virus 8]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
SRR14195380	Denmark	2014	Myotis daubentonii	1835	Parechovirus|3A_3B_3C_3D	21.2	378	270	1752	646	1710	2068	2094	60.3	17.1	2.74e-06	54.3	YP_009336650.1 hypothetical protein 1 [Wenling crustacean virus 6]	BioProject: PRJNA720531 | SRA Study: SRP314182 | Experiment: SRX10562209 | source_file: batch_3/best_blast_hits.tsv	batch_3/best_blast_hits.tsv
