qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR14381429|k141_21548/Kobuvirus_polyprotein/3906/1290-2406/43.26	YP_004782204.1	93.6	1275	82	0	3906	82	1064	2338	0.0	2437.0	3906	2338	97.9	54.5	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR14381429|k141_17975/Parechovirus_polyprotein/7045/9-2204/202.80	YP_009345900.1	50.3	2187	1056	22	6654	145	1	2172	0.0	2183.0	7045	2173	92.4	100.0	YP_009345900.1 polyprotein [Crohivirus B]
SRR14381429|k141_16661/Parechovirus_polyprotein/6888/103-1399/70.62	YP_009508298.1	41.0	2168	1168	30	6428	171	3	2141	0.0	1565.0	6888	2143	90.9	99.8	YP_009508298.1 polyprotein [Shanbavirus A]
SRR14381429|k141_17285/Kobuvirus_3A_3B_3C_3D/9792/37-566/7.28	YP_009330050.1	30.9	2878	1747	65	1441	9612	241	3027	0.0	1170.0	9792	3029	83.5	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_9498/Kobuvirus_3A_3B_3C_3D/9261/101-566/7.26	YP_009330050.1	30.9	2887	1729	68	923	9094	241	3027	0.0	1169.0	9261	3029	88.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_14722/Kobuvirus_3A_3B_3C_3D/9860/98-616/8.44	YP_009330050.1	30.6	2891	1750	71	1482	9683	240	3027	0.0	1161.0	9860	3029	83.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_13289/Kobuvirus_polyprotein/8021/1398-2327/10.46	YP_009337724.1	39.7	1720	855	34	4970	141	79	1726	0.0	1146.0	8021	1727	60.2	95.4	YP_009337724.1 hypothetical protein 2 [Hubei picorna-like virus 51]
SRR14381429|k141_3888/Kobuvirus_3A_3B_3C_3D/9971/102-617/7.70	YP_009330050.1	29.8	2882	1765	67	8260	128	247	3028	0.0	1115.0	9971	3029	81.6	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_8730/Kobuvirus_3A_3B_3C_3D/10053/102-617/7.46	YP_009330050.1	29.9	2880	1751	71	1748	9880	247	3028	0.0	1115.0	10053	3029	80.9	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18829/Kobuvirus_3A_3B_3C_3D/9310/101-617/7.49	YP_009330050.1	29.9	2877	1748	70	1197	9308	247	3021	0.0	1108.0	9310	3029	87.1	91.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_29796/Kobuvirus_3A_3B_3C_3D/8889/101-544/7.02	YP_009330050.1	30.4	2789	1697	67	976	8886	241	2939	0.0	1084.0	8889	3029	89.0	89.1	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_9466/Kobuvirus_VP0-VP3-VP1/1813/170-683/14.66	YP_004782204.1	86.6	603	80	1	1811	3	307	908	0.0	1054.0	1813	2338	99.8	25.7	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR14381429|k141_31770/Astroviridae_1A/6707/26-830/55.61	YP_009505809.1	69.4	758	214	9	2377	137	48	798	0.0	1010.0	6707	800	33.4	93.9	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_11582/Astroviridae_2/2484/102-709/45.05	YP_009505809.1	68.0	756	230	8	160	2400	46	798	0.0	999.0	2484	800	90.2	94.1	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_14601/Kobuvirus_3A_3B_3C_3D/8438/103-372/4.82	YP_009330050.1	29.6	2621	1621	67	7531	89	241	2784	2.57e-294	957.0	8438	3029	88.2	84.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_2621/Kobuvirus_3A_3B_3C_3D/8540/102-472/5.59	YP_009330050.1	28.7	2768	1707	73	720	8534	198	2861	6.16e-293	954.0	8540	3029	91.5	87.9	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18644/Astroviridae_1B/4882/10-516/55.97	YP_009505809.1	65.3	760	243	11	2370	130	46	797	0.0	942.0	4882	800	45.9	94.0	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_16175/Kobuvirus_2A_2B_2C/5373/166-532/3.12	YP_009342321.1	37.5	1514	866	23	740	5152	388	1864	2.2e-299	942.0	5373	2976	82.1	49.6	YP_009342321.1 hypothetical protein [Wuhan insect virus 13]
SRR14381429|k141_23792/Kobuvirus_3A_3B_3C_3D/8431/101-356/4.70	YP_009330050.1	29.6	2586	1578	64	7308	7	241	2737	3.8199999999999996e-282	923.0	8431	3029	86.6	82.4	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_26059/Kobuvirus_3A_3B_3C_3D/7935/101-374/4.89	YP_009330050.1	28.6	2593	1639	66	7356	10	247	2767	4.45e-277	905.0	7935	3029	92.6	83.2	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_13104/Parechovirus_3A_3B_3C_3D/4021/114-510/7.85	YP_009336575.1	42.8	1118	579	24	3484	218	1965	3050	1.61e-247	787.0	4021	3061	81.2	35.5	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_17997/Astroviridae_2/1749/136-631/44.83	YP_009505809.1	72.2	543	135	9	1611	19	47	585	1.8899999999999998e-270	761.0	1749	800	91.1	67.4	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_14709/Astroviridae_2/3436/78-752/46.64	YP_009664789.1	51.9	769	300	16	1137	3239	73	839	2.39e-248	728.0	3436	850	61.2	90.2	YP_009664789.1 capsid protein precursor [Mamastrovirus 18]
SRR14381429|k141_25930/Parechovirus_2A_2B_2C/6623/28-286/3.02	YP_009330050.1	32.4	1464	896	28	946	5130	241	1680	1.3e-206	696.0	6623	3029	63.2	47.5	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_1677/Kobuvirus_3A_3B_3C_3D/5142/109-617/7.42	YP_009330050.1	29.7	1735	1050	44	5058	157	1363	3028	9.7e-195	649.0	5142	3029	95.3	55.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18144/Kobuvirus_3A_3B_3C_3D/5129/102-617/7.66	YP_009330050.1	29.8	1729	1056	42	67	4968	1363	3028	2.51e-193	645.0	5129	3029	95.6	55.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_5211/Kobuvirus_3A_3B_3C_3D/5098/102-618/7.65	YP_009330050.1	29.6	1721	1033	46	89	4939	1382	3027	1.72e-192	642.0	5098	3029	95.2	54.3	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_10396/Kobuvirus_3A_3B_3C_3D/5580/101-544/7.27	YP_009330050.1	28.3	1986	1211	51	4	5577	1038	2939	5.03e-187	630.0	5580	3029	99.9	62.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_21581/Astroviridae_1B/1485/12-420/47.02	YP_009664790.1	67.5	428	138	1	1285	2	1	427	3.65e-218	614.0	1485	522	86.5	81.8	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR14381429|k141_30338/Parechovirus_3A_3B_3C_3D/1862/118-510/8.45	YP_009336575.1	60.7	504	195	3	11	1519	2549	3050	1.45e-192	605.0	1862	3061	81.0	16.4	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_3721/Kobuvirus_3A_3B_3C_3D/4842/103-617/7.98	YP_009330050.1	29.3	1645	996	40	4788	145	1454	3028	1.76e-180	605.0	4842	3029	95.9	52.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_25241/Kobuvirus_3A_3B_3C_3D/2410/254-599/5.36	YP_009337415.1	61.1	452	173	2	2402	1050	1601	2050	6.09e-187	588.0	2410	2054	56.1	21.9	YP_009337415.1 hypothetical protein 1 [Hubei picorna-like virus 79]
SRR14381429|k141_33133/Astroviridae_1B/1985/4-515/50.04	YP_009664783.1	57.7	471	197	2	1496	84	1	469	1.79e-201	577.0	1985	470	71.2	99.8	YP_009664783.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD77/2007]
SRR14381429|k141_24306/Kobuvirus_3A_3B_3C_3D/6530/102-566/6.97	YP_009330050.1	29.4	1515	929	39	4467	160	1574	3027	1.68e-156	544.0	6530	3029	66.0	48.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_30547/Parechovirus_3A_3B_3C_3D/4107/235-511/7.47	YP_009336575.1	58.0	455	190	1	1580	216	2597	3050	1.4300000000000001e-157	531.0	4107	3061	33.2	14.8	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_33454/Parechovirus_3A_3B_3C_3D/1547/222-510/8.24	YP_009336575.1	59.4	433	174	2	26	1321	2624	3055	1.75e-164	520.0	1547	3061	83.8	14.1	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_15113/Kobuvirus_3A_3B_3C_3D/8254/99-467/6.25	YP_009330050.1	34.2	971	587	19	591	3392	240	1195	5.4100000000000004e-145	512.0	8254	3029	33.9	31.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_33005/Kobuvirus_3A_3B_3C_3D/4984/109-472/5.35	YP_009330050.1	28.0	1586	973	43	4458	1	1363	2879	2.75e-146	504.0	4984	3029	89.4	50.1	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_33538/Kobuvirus_3A_3B_3C_3D/3773/109-611/7.32	YP_009330050.1	33.4	1020	600	25	810	3728	2040	3027	1.7e-148	501.0	3773	3029	77.4	32.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_35403/Kobuvirus_3A_3B_3C_3D/5003/101-399/4.96	YP_009330050.1	26.2	1811	1099	49	5003	3	1114	2831	2.79e-140	486.0	5003	3029	100.0	56.7	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_24337/Parechovirus_3A_3B_3C_3D/1099/121-438/6.63	YP_009336575.1	64.9	362	126	1	1088	3	2551	2911	5.58e-155	485.0	1099	3061	98.8	11.8	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_34296/Parechovirus_3A_3B_3C_3D/5012/105-408/6.19	YP_009330050.1	26.5	1786	1124	48	5012	3	1130	2842	1.68e-139	484.0	5012	3029	100.0	56.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_34246/Kobuvirus_3A_3B_3C_3D/4432/102-472/5.58	YP_009330050.1	27.8	1559	959	41	41	4426	1373	2861	9.749999999999999e-141	483.0	4432	3029	99.0	49.2	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_3378/Kobuvirus_3A_3B_3C_3D/10619/39-603/6.12	NP_049374.1	26.7	1750	1023	53	5419	10455	1292	2853	3.74e-131	468.0	10619	2858	47.4	54.7	NP_049374.1 polyprotein [Sacbrood virus]
SRR14381429|k141_17794/Kobuvirus_3A_3B_3C_3D/4840/109-384/4.62	YP_009330050.1	27.3	1533	955	41	4314	1	1363	2831	3.8100000000000004e-132	460.0	4840	3029	89.1	48.5	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_26150/Kobuvirus_3A_3B_3C_3D/4181/109-374/4.58	YP_009330050.1	27.9	1476	889	43	4125	10	1363	2767	2.2400000000000002e-125	435.0	4181	3029	98.4	46.4	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_25796/Kobuvirus_3A_3B_3C_3D/4098/101-472/5.67	YP_009330050.1	27.8	1433	886	37	4083	34	1489	2856	4.19e-121	422.0	4098	3029	98.8	45.2	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_8927/Kobuvirus_3A_3B_3C_3D/2605/100-378/4.13	YP_009342321.1	38.9	588	337	11	1714	2	2107	2689	1.98e-123	415.0	2605	2976	65.8	19.6	YP_009342321.1 hypothetical protein [Wuhan insect virus 13]
SRR14381429|k141_21322/Parechovirus_2A_2B_2C/2012/60-284/3.96	YP_009336575.1	47.9	432	224	1	1983	688	1371	1801	1.2300000000000001e-123	408.0	2012	3061	64.4	14.1	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_22466/Parechovirus_2A_2B_2C/1483/36-278/4.00	YP_009336575.1	47.0	432	228	1	1450	155	1371	1801	5.45e-124	402.0	1483	3061	87.4	14.1	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_17201/Parechovirus_3A_3B_3C_3D/757/256-441/4.60	YP_009305421.1	67.5	252	82	0	2	757	2684	2935	3.47e-114	363.0	757	3050	99.9	8.3	YP_009305421.1 polyprotein [Moku virus]
SRR14381429|k141_21195/Kobuvirus_3A_3B_3C_3D/3673/101-467/6.50	YP_009330050.1	27.1	1296	796	39	3648	1	1621	2847	5.8e-101	358.0	3673	3029	99.3	40.5	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_14456/Parechovirus_3A_3B_3C_3D/1243/258-500/5.66	YP_009330050.1	49.4	360	174	4	1242	175	2672	3027	5.94e-110	358.0	1243	3029	85.9	11.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_30912/Astroviridae_1A/2954/27-829/54.87	NP_795334.1	32.5	841	489	18	2793	388	71	871	1.58e-105	352.0	2954	874	81.4	91.6	NP_795334.1 putative serine protase [Mamastrovirus 10]
SRR14381429|k141_2119/Kobuvirus_3A_3B_3C_3D/2040/101-472/5.84	YP_009111311.1	34.7	665	384	19	71	2017	2200	2830	1.82e-100	341.0	2040	3006	95.4	21.0	YP_009111311.1 polyprotein [Dinocampus coccinellae paralysis virus]
SRR14381429|k141_25842/Kobuvirus_3A_3B_3C_3D/1998/103-472/5.96	YP_009342053.1	36.0	617	364	15	172	1998	2266	2859	2.23e-98	335.0	1998	3023	91.4	19.6	YP_009342053.1 hypothetical protein [Wuhan coneheads virus 1]
SRR14381429|k141_252/Parechovirus_3A_3B_3C_3D/735/222-398/4.71	YP_009336575.1	67.1	237	76	2	710	3	2624	2859	2.64e-103	331.0	735	3061	96.3	7.7	YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29]
SRR14381429|k141_20403/Kobuvirus_3A_3B_3C_3D/1994/100-373/5.05	YP_009111311.1	33.9	584	355	16	1825	95	2201	2760	1.15e-86	300.0	1994	3006	86.8	18.6	YP_009111311.1 polyprotein [Dinocampus coccinellae paralysis virus]
SRR14381429|k141_16454/Astroviridae_1B/545/223-403/21.43	YP_009664790.1	70.0	180	54	0	542	3	230	409	1.54e-93	284.0	545	522	99.1	34.5	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR14381429|k141_26401/Kobuvirus_3A_3B_3C_3D/2871/101-370/4.85	YP_009342053.1	39.9	461	255	14	1372	8	2291	2735	7.04e-78	282.0	2871	3023	47.5	14.7	YP_009342053.1 hypothetical protein [Wuhan coneheads virus 1]
SRR14381429|k141_11299/Astroviridae_2/2061/212-800/30.53	YP_003275953.1	49.2	301	139	6	2060	1176	102	394	4.16e-79	270.0	2061	731	42.9	40.1	YP_003275953.1 capsid [HMO Astrovirus A]
SRR14381429|k141_12531/Kobuvirus_3A_3B_3C_3D/835/326-541/4.01	YP_009336552.1	49.1	275	136	3	22	834	2723	2997	6.61e-78	260.0	835	3050	97.4	9.0	YP_009336552.1 hypothetical protein [Hubei tick virus 1]
SRR14381429|k141_7484/Astroviridae_1B/526/321-491/18.60	YP_009664787.1	66.7	171	57	0	1	513	614	784	1.23e-78	252.0	526	816	97.5	21.0	YP_009664787.1 polyprotein 1AB, partial [Mamastrovirus 18]
SRR14381429|k141_9267/Kobuvirus_2A_2B_2C/5555/204-408/5.91	YP_009407937.1	22.0	1656	1082	50	502	5157	716	2265	4.820000000000001e-66	252.0	5555	2297	83.8	67.5	YP_009407937.1 RNA-dependent RNA polymerase [Solenopsis invicta virus 4]
SRR14381429|k141_35630/Astroviridae_1A/1794/28-604/38.89	YP_009047247.1	32.3	585	369	11	1732	38	13	590	8.000000000000001e-72	250.0	1794	861	94.5	67.1	YP_009047247.1 ORF1A nonstructural polyprotein [Bovine astrovirus CH13]
SRR14381429|k141_100/Kobuvirus_3A_3B_3C_3D/1081/124-399/4.03	YP_009336552.1	38.6	376	209	6	10	1080	2454	2826	1.21e-70	243.0	1081	3050	99.1	12.2	YP_009336552.1 hypothetical protein [Hubei tick virus 1]
SRR14381429|k141_2490/Kobuvirus_3A_3B_3C_3D/1466/101-293/4.27	YP_009111311.1	32.9	492	294	16	6	1448	2200	2666	1.89e-64	229.0	1466	3006	98.4	15.5	YP_009111311.1 polyprotein [Dinocampus coccinellae paralysis virus]
SRR14381429|k141_14360/Astroviridae_1A/1116/243-610/30.27	YP_003090287.1	36.3	347	216	4	1088	63	253	599	1.09e-63	221.0	1116	886	91.9	39.2	YP_003090287.1 non-structural protein 1a [Astrovirus VA1]
SRR14381429|k141_9613/Parechovirus_3A_3B_3C_3D/849/262-485/5.51	NP_853560.2	43.0	272	152	3	849	40	2558	2828	1.5e-62	216.0	849	2893	95.4	9.4	NP_853560.2 polyprotein [Deformed wing virus]
SRR14381429|k141_18443/Astroviridae_1B_pcr_primer_region_RDRP/413/1-107/11.14	YP_009664790.1	68.6	137	43	0	1	411	245	381	1.55e-63	204.0	413	522	99.5	26.2	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR14381429|k141_21415/Kobuvirus_3A_3B_3C_3D/2466/100-300/4.36	YP_009111311.1	29.5	485	313	14	1030	2466	2201	2662	4.86e-51	198.0	2466	3006	58.3	15.4	YP_009111311.1 polyprotein [Dinocampus coccinellae paralysis virus]
SRR14381429|k141_5044/Kobuvirus_3A_3B_3C_3D/1154/101-304/3.86	YP_009342053.1	37.2	379	216	14	1121	6	2321	2684	1.31e-54	197.0	1154	3023	96.7	12.0	YP_009342053.1 hypothetical protein [Wuhan coneheads virus 1]
SRR14381429|k141_20877/Astroviridae_1B_pcr_primer_region_RDRP/394/15-128/12.33	YP_009664787.1	68.5	130	41	0	393	4	577	706	6.36e-57	191.0	394	816	99.0	15.9	YP_009664787.1 polyprotein 1AB, partial [Mamastrovirus 18]
SRR14381429|k141_12959/Parechovirus_2A_2B_2C/1717/28-286/3.28	YP_009330050.1	34.5	313	198	4	152	1084	1373	1680	8.55e-49	186.0	1717	3029	54.3	10.2	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18665/Astroviridae_1A/1016/358-697/21.70	YP_004782205.1	35.1	345	193	9	4	1014	335	656	2.5299999999999998e-48	176.0	1016	849	99.5	37.9	YP_004782205.1 ORF1a [Mouse astrovirus M-52/USA/2008]
SRR14381429|k141_1045/Parechovirus_2A_2B_2C/869/26-207/3.23	YP_009330050.1	33.7	243	154	4	118	840	1373	1610	3.1400000000000003e-37	143.0	869	3029	83.2	7.9	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_10450/Parechovirus_2A_2B_2C/1290/147-424/3.44	YP_009330050.1	29.6	247	172	2	14	748	1473	1719	5.12e-31	129.0	1290	3029	57.0	8.2	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_31885/Parechovirus_2A_2B_2C/2074/146-415/3.12	YP_009330050.1	32.9	210	139	2	27	650	1513	1722	2.0800000000000004e-27	122.0	2074	3029	30.1	6.9	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_17603/Astroviridae_1A/874/43-335/10.15	YP_004782205.1	27.6	250	157	8	2	700	21	263	9.46e-13	71.6	874	849	80.0	28.6	YP_004782205.1 ORF1a [Mouse astrovirus M-52/USA/2008]
