Start,End,Product
472,915,L
916,2040,VP0
2041,2709,VP3
2710,3564,VP1
3565,3981,2A
3982,4536,2B
4537,5553,2C
5554,5832,3A
5833,5928,3B
5929,6504,3C
6505,7923,3D
