qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR19115554|k141_56957/Hepatovirus/11270/1946-56/7.887205084745762	YP_009407949.1	99.6	2235	10	0	6725	21	1	2235	0.0	4477.0	11270	2285	59.5	97.8	YP_009407949.1 RNA-dependent RNA polymerase [Myrmica scabrinodis virus 1]
SRR19115554|k141_52567/Crohivirus/8986/4224-4968/6.086382142857143	YP_009337666.1	72.8	2909	755	8	344	8983	1	2903	0.0	4460.0	8986	2904	96.1	100.0	YP_009337666.1 hypothetical protein [Hubei picorna-like virus 35]
SRR19115554|k141_35528/Hepatovirus/11627/9300-11298/9.14977627118644	YP_009407905.1	90.3	2270	216	4	4557	11360	1	2268	0.0	4208.0	11627	2268	58.5	100.0	YP_009407905.1 RNA-dependent RNA polymerase [Lasius neglectus virus 1]
SRR19115554|k141_30253/Hepatovirus/6099/5001-6090/11.65103220338983	NP_851403.1	70.5	1917	505	8	370	6099	11	1874	0.0	2652.0	6099	1933	93.9	96.4	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR19115554|k141_30155/Hepatovirus/5848/850-4/8.998402542372881	NP_851403.1	69.2	1833	504	9	5479	2	11	1790	0.0	2482.0	5848	1933	93.7	92.1	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR14381429|k141_1598/Enterovirus/3906/3903-81/119.5600923076923	YP_004782204.1	93.6	1275	82	0	3906	82	1064	2338	0.0	2437.0	3906	2338	97.9	54.5	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR19115554|k141_53244/Harkavirus/8827/7311-8808/12.019186595744682	YP_009272812.1	48.9	2380	1134	26	1748	8806	277	2602	0.0	2198.0	8827	2694	80.0	86.3	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR14381429|k141_20204/Crohivirus/7045/6649-145/324.87744047619043	YP_009345900.1	50.3	2187	1056	22	6654	145	1	2172	0.0	2183.0	7045	2173	92.4	100.0	YP_009345900.1 polyprotein [Crohivirus B]
SRR19115554|k141_56596/Hepatovirus/8101/1957-58/12.469875423728814	YP_009272812.1	47.9	2369	1155	36	6967	17	277	2618	0.0	2152.0	8101	2694	85.8	86.9	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_47746/Hepatovirus/8558/6735-8547/11.77941440677966	YP_009272812.1	47.7	2300	1156	21	1751	8542	268	2555	0.0	2107.0	8558	2694	79.4	84.9	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_58141/Aphthovirus/3706/1765-1294/5.187218348623853	NP_066241.1	94.5	1091	58	2	3350	84	1	1091	0.0	2035.0	3706	1906	88.2	57.2	NP_066241.1 replicase polyprotein [Acute bee paralysis virus]
SRR19115554|k141_54393/Bopivirus/9707/7062-9510/10.390859124087592	YP_009336629.1	39.4	2979	1539	54	778	9570	67	2817	0.0	1935.0	9707	2823	90.6	97.4	YP_009336629.1 hypothetical protein [Hubei arthropod virus 1]
SRR19115554|k141_18065/Bopivirus/8603/2501-53/10.530413138686132	NP_049374.1	40.5	2845	1479	63	8336	18	149	2847	0.0	1923.0	8603	2858	96.7	94.4	NP_049374.1 polyprotein [Sacbrood virus]
SRR19115554|k141_41320/Aphthovirus/4930/2115-2592/5.507439816513761	NP_851403.1	66.4	1484	439	8	498	4928	11	1441	0.0	1904.0	4930	1933	89.9	74.0	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR19115554|k141_55052/Caliciviridae/5822/1268-1103/1.0057264166666666	YP_009552769.1	68.0	1390	437	6	5787	1624	1	1384	0.0	1886.0	5822	1761	71.5	78.6	YP_009552769.1 nonstructural polyprotein [Culex Bastrovirus-like virus]
SRR19115554|k141_9269/Crohivirus/7602/612-246/6.003125	YP_009407943.1	99.7	913	3	0	2739	1	1	913	0.0	1805.0	7602	2145	36.0	42.6	YP_009407943.1 RNA-dependent RNA polymerase, partial [Lasius niger virus 1]
SRR19115554|k141_15881/Cosavirus/6410/5508-5784/1.2273898255813953	YP_009342431.1	61.1	1469	549	8	35	4423	111	1562	0.0	1774.0	6410	1562	68.5	93.0	YP_009342431.1 hypothetical protein 1 [Wuhan insect virus 31]
SRR19115554|k141_49413/Hepatovirus/8514/4548-5820/9.321138983050847	NP_044945.1	53.0	1699	660	17	1099	5853	84	1757	0.0	1773.0	8514	1759	55.8	95.2	NP_044945.1 replicase polyprotein [Drosophila C virus]
SRR19115554|k141_11629/Hepatovirus/6106/3999-6102/14.89625593220339	YP_009272812.1	45.8	2079	1053	33	1	6087	614	2669	0.0	1765.0	6106	2694	99.7	76.3	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_15425/Hepatovirus/9210/4404-3603/6.253574152542373	YP_009342327.1	51.0	1907	802	24	8674	2993	42	1829	0.0	1745.0	9210	1830	61.7	97.7	YP_009342327.1 hypothetical protein 1 [Wuhan insect virus 11]
SRR19115554|k141_49299/Hepatovirus/10067/5849-4274/9.074492372881355	YP_009342286.1	45.2	1953	850	26	9734	4029	7	1790	0.0	1573.0	10067	1794	56.7	99.4	YP_009342286.1 hypothetical protein 1 [Wuhan arthropod virus 2]
SRR14381429|k141_8931/Crohivirus/6888/6189-237/149.9926071428571	YP_009508298.1	41.0	2168	1168	30	6428	171	3	2141	0.0	1565.0	6888	2143	90.9	99.8	YP_009508298.1 polyprotein [Shanbavirus A]
SRR19115554|k141_6523/Hepatovirus/2509/664-82/2.6045435593220336	YP_009407943.1	96.6	834	24	2	2509	17	1032	1864	0.0	1555.0	2509	2145	99.4	38.8	YP_009407943.1 RNA-dependent RNA polymerase, partial [Lasius niger virus 1]
SRR19115554|k141_54678/Hepatovirus/7045/1393-208/8.973629661016949	YP_009337003.1	38.4	2426	1326	46	7045	134	407	2786	0.0	1537.0	7045	2786	98.1	85.4	YP_009337003.1 hypothetical protein [Hubei picorna-like virus 26]
SRR19115554|k141_12094/Hepatovirus/2235/1311-2181/4.48181186440678	YP_009407943.1	99.7	745	2	0	1	2235	1212	1956	0.0	1462.0	2235	2145	100.0	34.7	YP_009407943.1 RNA-dependent RNA polymerase, partial [Lasius niger virus 1]
SRR19115554|k141_3243/Hepatovirus/5097/4110-5085/10.03986186440678	YP_009329985.1	46.4	1695	760	26	109	5097	16	1594	0.0	1444.0	5097	1701	97.9	92.8	YP_009329985.1 hypothetical protein 1 [Hubei picorna-like virus 24]
SRR19115554|k141_43379/Hepatovirus/5704/1531-526/8.570455084745763	YP_009342286.1	45.0	1802	904	28	5508	277	20	1792	0.0	1441.0	5704	1794	91.7	98.8	YP_009342286.1 hypothetical protein 1 [Wuhan arthropod virus 2]
SRR19115554|k141_8851/Hepatovirus/3699/3696-3144/3.150114915254237	NP_851404.2	78.6	894	181	4	2909	240	1	888	0.0	1411.0	3699	888	72.2	100.0	NP_851404.2 structural polyprotein, partial [Kashmir bee virus]
SRR19115554|k141_25475/Hepatovirus/3049/999-3015/12.162718644067796	YP_009272812.1	65.9	1009	343	1	18	3044	1629	2636	0.0	1399.0	3049	2694	99.3	37.4	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_31722/Crohivirus/9565/6822-7215/6.251655952380952	YP_009513239.1	46.0	1645	825	23	4731	9551	10	1629	0.0	1395.0	9565	2153	50.4	75.2	YP_009513239.1 RNA-dependent RNA polymerase [Solenopsis invicta virus 2]
SRR19115554|k141_17607/Bopivirus/5505/2643-195/10.838314598540148	YP_009336612.1	40.9	1837	997	25	5501	132	1096	2890	0.0	1350.0	5505	2901	97.5	61.9	YP_009336612.1 hypothetical protein [Hubei picorna-like virus 39]
SRR19115554|k141_567/Hepatovirus/7412/3543-5277/10.658674576271189	YP_009342286.1	46.2	1611	792	24	612	5351	225	1792	0.0	1315.0	7412	1794	64.0	87.4	YP_009342286.1 hypothetical protein 1 [Wuhan arthropod virus 2]
SRR19115554|k141_40256/Crohivirus/7488/2427-1794/6.76598369047619	YP_009336629.1	38.2	2132	1076	43	6310	29	67	1987	0.0	1310.0	7488	2823	83.9	68.0	YP_009336629.1 hypothetical protein [Hubei arthropod virus 1]
SRR19115554|k141_47436/Crohivirus/4071/1608-1158/5.863015714285714	YP_009272812.1	56.8	1166	462	11	3460	17	38	1179	0.0	1305.0	4071	2694	84.6	42.4	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_23743/Harkavirus/2285/1326-1743/2.8874525531914896	NP_851404.2	77.6	758	161	3	1	2265	64	815	0.0	1187.0	2285	888	99.1	84.7	NP_851404.2 structural polyprotein, partial [Kashmir bee virus]
SRR19115554|k141_54577/Crohivirus/5310/4209-3012/15.252005952380951	NP_044946.1	65.5	915	286	9	2750	21	5	894	0.0	1185.0	5310	901	51.4	98.8	NP_044946.1 capsid polyprotein, partial [Drosophila C virus]
SRR14381429|k141_7767/Hepatovirus/9755/8268-9489/6.889118644067796	YP_009330050.1	30.9	2878	1747	65	1404	9575	241	3027	0.0	1170.0	9755	3029	83.8	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_21824/Hepatovirus/9261/7788-9009/6.824438135593219	YP_009330050.1	30.9	2887	1729	68	923	9094	241	3027	0.0	1169.0	9261	3029	88.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_25032/Bopivirus/9860/7890-9411/7.160443503649636	YP_009330050.1	30.6	2891	1750	71	1482	9683	240	3027	0.0	1161.0	9860	3029	83.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_4665/Cosavirus/8021/1235-389/14.801754651162792	YP_009337724.1	39.7	1720	855	34	4970	141	79	1726	0.0	1146.0	8021	1727	60.2	95.4	YP_009337724.1 hypothetical protein 2 [Hubei picorna-like virus 51]
SRR19115554|k141_3170/Hepatovirus/3194/1245-2541/11.365660169491523	YP_001040002.1	68.5	788	243	4	227	2578	1113	1899	0.0	1123.0	3194	1900	73.6	41.4	YP_001040002.1 polymerase polyprotein [Israeli acute paralysis virus]
SRR19115554|k141_10704/Crohivirus/3039/1401-261/3.8000321428571424	YP_009336630.1	56.9	981	417	3	3006	79	1084	2063	0.0	1120.0	3039	2578	96.3	38.0	YP_009336630.1 hypothetical protein 1 [Changjiang crawfish virus 6]
SRR14381429|k141_11800/Bopivirus/10053/8082-9606/7.427480656934307	YP_009330050.1	29.9	2880	1751	71	1748	9880	247	3028	0.0	1115.0	10053	3029	80.9	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_13633/Bopivirus/9971/1925-401/7.242259854014598	YP_009330050.1	29.8	2882	1765	67	8260	128	247	3028	0.0	1115.0	9971	3029	81.6	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR19115554|k141_3984/Rosavirus/2683/2038-1318/1.312628787878788	YP_007438853.1	99.5	546	3	0	2420	783	402	947	0.0	1109.0	2683	947	61.1	57.7	YP_007438853.1 polyprotein P2ab [Ryegrass mottle virus]
SRR14381429|k141_33954/Bopivirus/9310/7527-9054/7.1106306569343065	YP_009330050.1	29.9	2877	1748	70	1197	9308	247	3021	0.0	1108.0	9310	3029	87.1	91.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR19115554|k141_27612/Rosavirus/4039/2013-2724/2.0121934343434345	NP_942020.1	99.1	540	5	0	1602	3221	6	545	0.0	1105.0	4039	545	40.1	99.1	NP_942020.1 RNA-dependent RNA polymerase [Cocksfoot mottle virus]
SRR19115554|k141_49995/Crohivirus/5129/539-14/3.964664880952381	YP_009140562.1	40.4	1584	675	19	4209	4	93	1589	0.0	1092.0	5129	3057	82.0	49.0	YP_009140562.1 putative polyprotein [La Jolla virus]
SRR19115554|k141_10310/Hepatovirus/4450/42-1617/8.393156779661016	YP_009342287.1	74.4	762	154	10	2235	4448	1	745	0.0	1090.0	4450	1165	49.8	63.9	YP_009342287.1 hypothetical protein 2 [Wuhan arthropod virus 2]
SRR14381429|k141_8135/Enterovirus/8889/7341-8874/6.53092076923077	YP_009330050.1	30.4	2789	1697	67	976	8886	241	2939	0.0	1084.0	8889	3029	89.0	89.1	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR19115554|k141_20207/Avisivirus/2355/903-1395/1.916203105590062	NP_066242.1	95.1	572	28	0	639	2354	7	578	0.0	1083.0	2355	914	72.9	62.6	NP_066242.1 capsid protein [Acute bee paralysis virus]
SRR19115554|k141_33393/Cosavirus/9572/1985-14/11.325172093023255	YP_009337003.1	29.3	2876	1670	71	8210	24	21	2675	0.0	1071.0	9572	2786	85.5	95.3	YP_009337003.1 hypothetical protein [Hubei picorna-like virus 26]
SRR14381429|k141_11844/Bopivirus/1813/1807-22/41.01426277372263	YP_004782204.1	86.6	603	80	1	1811	3	307	908	0.0	1054.0	1813	2338	99.8	25.7	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR19115554|k141_57629/Potamipivirus/7616/945-987/1.5121952755905512	YP_003934933.1	48.4	1193	567	17	1609	5100	308	1480	0.0	1045.0	7616	1480	45.9	79.3	YP_003934933.1 coat protein [Armigeres subalbatus virus SaX06-AK20]
