qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR30851198|k141_89951/Ailurivirus/8510/1695-8226/168.37862264150945	YP_009121743.1	63.6	2205	749	19	1672	8229	82	2251	0.0	2755.0	8510	2251	77.1	96.4	YP_009121743.1 polyprotein [mischivirus C1]
SRR30851198|k141_128161/Enterovirus/7704/630-7503/175.43146923076924	YP_005351240.1	58.0	2383	896	22	550	7503	35	2378	0.0	2745.0	7704	2378	90.3	98.6	YP_005351240.1 polyprotein [Canine picornavirus]
SRR25884743|k141_2626/Crohivirus/6891/6483-171/172.84041666666667	YP_009508298.1	60.9	2146	792	11	6475	164	4	2143	0.0	2676.0	6891	2143	91.6	99.9	YP_009508298.1 polyprotein [Shanbavirus A]
SRR30851198|k141_35959/Avisivirus/2842/1650-2049/1.2899362111801242	YP_009337883.1	56.3	902	372	6	73	2751	18	906	0.0	986.0	2842	964	94.3	92.2	YP_009337883.1 RNA-dependent RNA polymerase [Hubei orthoptera virus 4]
SRR25884743|k141_2643/Aphthovirus/6517/5211-5511/1.3068076146788992	YP_009551684.1	46.5	1138	520	14	3230	6490	1	1100	1.4e-277	843.0	6517	1100	50.0	100.0	YP_009551684.1 RNA-dependent RNA polymerase [Eimeria stiedai RNA virus 1]
SRR30851198|k141_89347/Sakobuvirus/2560/1198-1024/1.6334366666666666	YP_009259720.1	99.0	401	4	0	1721	519	1	401	3.4e-285	794.0	2560	401	47.0	100.0	YP_009259720.1 putative Rep protein [Circovirus-like genome DCCV-4]
SRR25884743|k141_5470/Astroviridae/1563/15-1530/38.67601	YP_009505809.1	72.3	506	134	3	53	1555	46	550	6.92e-261	734.0	1563	800	96.2	63.1	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR30851198|k141_33500/Astroviridae/1317/1314-21/35.1160775	YP_009664789.1	68.1	457	126	7	1316	6	115	571	1.8500000000000001e-211	607.0	1317	850	99.5	53.8	YP_009664789.1 capsid protein precursor [Mamastrovirus 18]
SRR25884743|k141_4165/Crohivirus/1658/6-1656/77.4744761904762	YP_009345900.1	47.1	554	287	5	6	1658	1104	1654	3.5700000000000002e-177	553.0	1658	2173	99.7	25.4	YP_009345900.1 polyprotein [Crohivirus B]
SRR30851198|k141_75877/Mamastrovirus/968/12-954/20.2022578125	YP_009664790.1	74.6	319	81	0	10	966	181	499	5.05e-182	515.0	968	522	98.9	61.1	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR24146889|k141_35887/Rosavirus/8554/5107-4846/1.226479191919192	YP_009006594.1	58.5	393	156	4	2788	1622	5	394	5.029999999999999e-147	466.0	8554	397	13.6	98.2	YP_009006594.1 DNA methyltransferase [Oenococcus phage phiS11]
SRR30851198|k141_15436/Aphthovirus/991/586-223/1.7411618348623852	NP_077730.1	65.5	330	114	0	990	1	460	789	1.12e-151	455.0	991	1043	99.9	31.6	NP_077730.1 RNA dependent RNA polymerase protein A [Nodamura virus]
SRR30851198|k141_73016/Hepatovirus/11681/6480-7809/13.31333728813559	YP_009336994.1	26.1	1864	972	55	2414	7891	415	1911	4.1e-121	432.0	11681	1911	46.9	78.3	YP_009336994.1 hypothetical protein 1 [Wenzhou picorna-like virus 28]
SRR25884743|k141_6331/Crohivirus/1010/3-1005/58.04856785714286	YP_009345900.1	58.1	334	139	1	3	1004	1823	2155	2.24e-124	396.0	1010	2173	99.2	15.3	YP_009345900.1 polyprotein [Crohivirus B]
SRR25884743|k141_4191/Vesivirus/865/850-118/20.7405625	YP_006347580.1	58.0	288	119	1	863	6	1818	2105	9.370000000000001e-116	369.0	865	2284	99.2	12.6	YP_006347580.1 polyprotein [Bat sapovirus TLC58/HK]
SRR30851198|k141_15249/Mamastrovirus/725/3-723/14.069852734375	YP_009664785.1	70.5	241	71	0	3	725	1	241	1.43e-125	359.0	725	274	99.7	88.0	YP_009664785.1 polyprotein 1AB, partial [Mamastrovirus 16]
SRR30851198|k141_36476/Aphthovirus/725/320-2/1.488966605504587	NP_919036.1	68.0	241	77	0	724	2	465	705	8.48e-109	339.0	725	1045	99.7	23.1	NP_919036.1 RNA-dependent RNA polymerase [Macrobrachium rosenbergii nodavirus]
SRR25884743|k141_1830/Astroviridae/523/3-519/21.579273125	YP_009505809.1	87.9	173	21	0	3	521	94	266	1.3e-107	327.0	523	800	99.2	21.6	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
