qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR19115554|k141_56847/Hepatovirus/11270/1946-56/7.887205084745762	YP_009407949.1	99.6	2235	10	0	6725	21	1	2235	0.0	4477.0	11270	2285	59.5	97.8	YP_009407949.1 RNA-dependent RNA polymerase [Myrmica scabrinodis virus 1]
SRR19115554|k141_49714/Crohivirus/8986/4224-4968/6.086382142857143	YP_009337666.1	72.8	2909	755	8	344	8983	1	2903	0.0	4460.0	8986	2904	96.1	100.0	YP_009337666.1 hypothetical protein [Hubei picorna-like virus 35]
SRR19115554|k141_36672/Hepatovirus/11627/9300-11298/9.14977627118644	YP_009407905.1	90.3	2270	216	4	4557	11360	1	2268	0.0	4208.0	11627	2268	58.5	100.0	YP_009407905.1 RNA-dependent RNA polymerase [Lasius neglectus virus 1]
SRR19115554|k141_38826/Hepatovirus/9406/4405-3142/12.3712406779661	NP_851403.1	70.2	1976	529	9	9037	3131	11	1933	0.0	2738.0	9406	1933	62.8	99.5	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR19115554|k141_11392/Hepatovirus/6099/5001-6090/11.65103220338983	NP_851403.1	70.5	1917	505	8	370	6099	11	1874	0.0	2652.0	6099	1933	93.9	96.4	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR14381429|k141_21548/Enterovirus/3906/3903-81/119.5600923076923	YP_004782204.1	93.6	1275	82	0	3906	82	1064	2338	0.0	2437.0	3906	2338	97.9	54.5	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR19115554|k141_51006/Harkavirus/8827/7311-8808/12.019186595744682	YP_009272812.1	48.9	2380	1134	26	1748	8806	277	2602	0.0	2198.0	8827	2694	80.0	86.3	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_5601/Parechovirus/5445/1959-2604/5.9939350000000005	NP_851403.1	67.8	1656	473	8	498	5444	11	1613	0.0	2189.0	5445	1933	90.9	82.9	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR14381429|k141_17975/Crohivirus/7045/6649-145/324.87744047619043	YP_009345900.1	50.3	2187	1056	22	6654	145	1	2172	0.0	2183.0	7045	2173	92.4	100.0	YP_009345900.1 polyprotein [Crohivirus B]
SRR19115554|k141_56471/Hepatovirus/8101/1957-58/12.469875423728814	YP_009272812.1	47.9	2369	1155	36	6967	17	277	2618	0.0	2152.0	8101	2694	85.8	86.9	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_25830/Crohivirus/8097/1107-741/5.990059285714286	YP_009407943.1	99.6	1078	4	0	3234	1	1	1078	0.0	2138.0	8097	2145	39.9	50.3	YP_009407943.1 RNA-dependent RNA polymerase, partial [Lasius niger virus 1]
SRR19115554|k141_3093/Hepatovirus/8558/6735-8547/11.77941440677966	YP_009272812.1	47.7	2300	1156	21	1751	8542	268	2555	0.0	2107.0	8558	2694	79.4	84.9	YP_009272812.1 polyprotein [Washington bat picornavirus]
SRR19115554|k141_58113/Kobuvirus/3706/2050-895/5.295877066666667	NP_066241.1	94.5	1091	58	2	3350	84	1	1091	0.0	2035.0	3706	1906	88.2	57.2	NP_066241.1 replicase polyprotein [Acute bee paralysis virus]
SRR19115554|k141_32294/Bopivirus/9707/7062-9510/10.390859124087592	YP_009336629.1	39.4	2979	1539	54	778	9570	67	2817	0.0	1935.0	9707	2823	90.6	97.4	YP_009336629.1 hypothetical protein [Hubei arthropod virus 1]
SRR19115554|k141_28155/Bopivirus/8603/2501-53/10.530413138686132	NP_049374.1	40.5	2845	1479	63	8336	18	149	2847	0.0	1923.0	8603	2858	96.7	94.4	NP_049374.1 polyprotein [Sacbrood virus]
SRR19115554|k141_51339/Astroviridae/5822/2399-1865/2.259261066666667	YP_009552769.1	68.0	1390	437	6	5787	1624	1	1384	0.0	1886.0	5822	1761	71.5	78.6	YP_009552769.1 nonstructural polyprotein [Culex Bastrovirus-like virus]
SRR19115554|k141_11440/Hepatovirus/9413/8019-9204/8.92235	YP_009337003.1	38.8	2752	1511	50	1409	9280	81	2786	0.0	1791.0	9413	2786	83.6	97.1	YP_009337003.1 hypothetical protein [Hubei picorna-like virus 26]
