qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR19115554|k141_56961/Potamipivirus/11270/4337-4163/2.1178493430656937	YP_009407949.1	99.6	2235	10	0	6725	21	1	2235	0.0	4477.0	11270	2285	59.5	97.8	YP_009407949.1 RNA-dependent RNA polymerase [Myrmica scabrinodis virus 1]
SRR19115554|k141_47899/Sapovirus/8986/8262-8367/1.5895951694915254	YP_009337666.1	72.8	2909	755	8	344	8983	1	2903	0.0	4460.0	8986	2904	96.1	100.0	YP_009337666.1 hypothetical protein [Hubei picorna-like virus 35]
ERR3179227|k141_17963/Sapovirus/9266/878-773/1.4069980508474575	YP_009337666.1	69.5	2910	849	10	8798	162	1	2902	0.0	4220.0	9266	2904	93.2	99.9	YP_009337666.1 hypothetical protein [Hubei picorna-like virus 35]
SRR19115554|k141_15417/Potamipivirus/11627/6918-7092/2.118667518248176	YP_009407905.1	90.3	2270	216	4	4557	11360	1	2268	0.0	4208.0	11627	2268	58.5	100.0	YP_009407905.1 RNA-dependent RNA polymerase [Lasius neglectus virus 1]
ERR3179227|k141_9923/Tremovirus/10177/7486-7390/2.6844163636363634	YP_009345906.1	65.0	3181	1052	17	9646	257	9	3179	0.0	4197.0	10177	3179	92.3	99.7	YP_009345906.1 polyprotein [Bat iflavirus]
ERR3179227|k141_17136/Tremovirus/9361/7740-7839/2.756797520661157	NP_647481.1	91.9	1771	143	1	887	6196	1	1771	0.0	3202.0	9361	1771	56.7	100.0	NP_647481.1 nonstructural polyprotein [Cricket paralysis virus]
ERR3179227|k141_21220/Tremovirus/10316/7538-7439/2.497886776859505	YP_009305421.1	55.3	2898	1162	33	8751	280	212	3050	0.0	3169.0	10316	3050	82.1	93.1	YP_009305421.1 polyprotein [Moku virus]
ERR3179227|k141_1754/Tremovirus/9147/7767-7860/2.397599338842975	NP_620560.1	87.7	1778	217	2	913	6243	1	1777	0.0	3088.0	9147	1777	58.3	100.0	NP_620560.1 nonstructural protein precursor [Himetobi P virus]
SRR19115553|k141_31811/Limnipivirus/11973/7005-7173/2.6351310483870964	YP_009407905.1	59.1	2290	895	14	4673	11494	5	2268	0.0	2786.0	11973	2268	57.0	99.8	YP_009407905.1 RNA-dependent RNA polymerase [Lasius neglectus virus 1]
SRR19115554|k141_8669/Limnipivirus/6099/843-903/1.661071138211382	NP_851403.1	70.5	1917	505	8	370	6099	11	1874	0.0	2652.0	6099	1933	93.9	96.4	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR19115553|k141_2384/Salivirus/4610/1178-1007/1.8371674766355144	YP_009351892.1	80.4	1528	291	5	4594	29	484	2008	0.0	2510.0	4610	3057	99.0	49.9	YP_009351892.1 polyprotein [Pityohyphantes rubrofasciatus iflavirus]
SRR19115554|k141_6068/Norovirus/5848/3685-3634/1.6807682089552238	NP_851403.1	69.2	1833	504	9	5479	2	11	1790	0.0	2482.0	5848	1933	93.7	92.1	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
SRR19115553|k141_28318/Rosavirus/7926/1173-1071/1.3850462420382166	NP_851403.1	72.2	1675	411	7	7917	2914	307	1933	0.0	2374.0	7926	1933	63.1	84.2	NP_851403.1 non-structural polyprotein [Kashmir bee virus]
