,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_13440,k141_96343,16.012894,672,705,Livupivirus,1.9,polyprotein,8.427838947368421,821,1,821
1,vHMM_13440,k141_1097437,12.576669,341,311,Livupivirus,1.9,polyprotein,6.619299473684212,596,5,596
2,vHMM_13440,k141_592311,12.527011,202,172,Livupivirus,1.9,polyprotein,6.593163684210527,511,5,511
3,vHMM_13440,k141_1180558,12.118108,136,103,Livupivirus,1.9,polyprotein,6.377951578947369,580,6,580
4,vHMM_13440,k141_509738,12.035067,120,150,Livupivirus,1.9,polyprotein,6.334245789473685,801,3,801
5,vHMM_13440,k141_370086,11.7069845,2241,2289,Livupivirus,1.9,polyprotein,6.161570789473685,3122,1,3122
6,vHMM_13440,k141_882566,11.470589,271,217,Livupivirus,1.9,polyprotein,6.037152105263158,328,5,328
7,vHMM_13440,k141_1003503,10.947912,339,381,Livupivirus,1.9,polyprotein,5.762058947368422,2791,3,2791
8,vHMM_13440,k141_479606,10.448694,1353,1392,Livupivirus,1.9,polyprotein,5.499312631578947,1505,3,1505
9,vHMM_13440,k141_1236218,10.365864,74,29,Livupivirus,1.9,polyprotein,5.455717894736843,413,6,413
10,vHMM_13440,k141_1064819,10.04698,812,773,Livupivirus,1.9,polyprotein,5.2878842105263155,2669,4,2669
11,vHMM_13440,k141_345287,9.543085,2094,2133,Livupivirus,1.9,polyprotein,5.022676315789473,2160,3,2160
12,vHMM_13440,k141_3118,9.40938,59,29,Livupivirus,1.9,polyprotein,4.952305263157895,1016,5,1016
13,vHMM_13629,k141_42526,14.037754,758,707,Sakobuvirus,4.8,polyprotein,2.9245320833333333,2402,5,2402
14,vHMM_13631,k141_363779,15.215886,261,303,Sakobuvirus,5.3,polyprotein,2.870921886792453,553,2,553
15,vHMM_13728,k141_68696,15.001086,8034,8004,Tremovirus,5.5,polyprotein,2.727470181818182,11004,6,11004
16,vHMM_13728,k141_1056537,14.645994,432,483,Tremovirus,5.5,polyprotein,2.662908,5982,1,5982
17,vHMM_13631,k141_155902,13.853347,772,727,Sakobuvirus,5.3,polyprotein,2.6138390566037737,2746,4,2746
18,vHMM_13629,k141_313458,12.545352,336,384,Sakobuvirus,4.8,polyprotein,2.613615,1089,3,1089
19,vHMM_13629,k141_1403503,12.485963,284,218,Sakobuvirus,4.8,polyprotein,2.601242291666667,701,4,701
20,vHMM_13629,k141_1022095,12.437826,252,282,Sakobuvirus,4.8,polyprotein,2.59121375,479,2,479
21,vHMM_13327,k141_45982,17.852177,165,207,Harkavirus,7.1,polyprotein,2.5143911267605636,412,3,412
22,vHMM_3441,k141_1166077,14.995679,165,90,Lagovirus,6.0,polyprotein;nonstructural,2.4992798333333335,372,6,372
23,vHMM_13440,k141_1422932,4.714958,690,735,Livupivirus,1.9,polyprotein,2.481556842105263,1798,2,1798
24,vHMM_3441,k141_399827,14.743886,435,507,Lagovirus,6.0,polyprotein;nonstructural,2.457314333333333,1912,1,1912
25,vHMM_13728,k141_833720,13.499547,388,364,Tremovirus,5.5,polyprotein,2.454463090909091,580,5,580
26,vHMM_13440,k141_254174,4.6030993,480,504,Livupivirus,1.9,polyprotein,2.4226838421052634,638,3,638
27,vHMM_3441,k141_1058117,14.465524,174,249,Lagovirus,6.0,polyprotein;nonstructural,2.4109206666666667,1377,2,1377
28,vHMM_13629,k141_1110085,11.425412,170,149,Sakobuvirus,4.8,polyprotein,2.380294166666667,506,5,506
29,vHMM_13440,k141_1422932,4.487151,570,603,Livupivirus,1.9,polyprotein,2.3616584210526317,1798,2,1798
30,vHMM_3441,k141_1357835,14.141945,192,261,Lagovirus,6.0,polyprotein;nonstructural,2.356990833333333,1219,3,1219
31,vHMM_13728,k141_838028,12.9428005,309,255,Tremovirus,5.5,polyprotein,2.3532364545454545,504,5,504
