ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class,1A_length,1B_length,2_length
PV418556,PV418556.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_7/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/huntervalley_7/2022,Australia: Hunter Valley,,Aug-2022,feces,Canis lupus familiaris,No,,No,No,0-2670,1.0,2621-4157,1.0,3957-6444,1.0,Mammalia,2670.0,1536.0,2487.0
PV418555,PV418555.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_6/2022 nonstructural protein, RNA-dependent RNA polymerase, and capsid protein genes, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/huntervalley_6/2022,Australia: Hunter Valley,,Aug-2022,feces,Canis lupus familiaris,No,,No,No,0-2667,1.0,2618-4154,1.0,3954-6466,1.0,Mammalia,2667.0,1536.0,2512.0
PV418548,PV418548.1,"Canine astrovirus isolate CaAstV/Dog/AUS/b_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2447.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/b_hopevale_4/2021,Australia: Hope Vale,,Dec-2021,rectal swab,Canis lupus familiaris,No,1.0,No,No,NA-NA,,NA-NA,,116-2447,1.0,Mammalia,,,2331.0
PV418547,PV418547.1,"Canine astrovirus isolate CaAstV/Dog/AUS/a_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2416.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/a_hopevale_4/2021,Australia: Hope Vale,,Dec-2021,rectal swab,Canis lupus familiaris,No,1.0,No,No,NA-NA,,NA-NA,,57-2416,1.0,Mammalia,,,2359.0
PV418557,PV418557.1,"Canine astrovirus isolate CaAstV/Dog/AUS/perth_6/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6478.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/perth_6/2022,Australia: Perth,,Mar-2022,feces,Canis lupus familiaris,No,3.0,No,No,59-2606,1.0,2569-4138,1.0,4091-6455,1.0,Mammalia,2547.0,1569.0,2364.0
PV418554,PV418554.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_3/2022 nonstructural protein gene, complete cds; and RNA-dependent RNA polymerase and capsid protein genes, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6460.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/huntervalley_3/2022,Australia: Hunter Valley,,Aug-2022,feces,Canis lupus familiaris,No,3.0,No,No,0-2670,1.0,2621-4157,1.0,3957-6460,1.0,Mammalia,2670.0,1536.0,2503.0
PV418553,PV418553.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_6/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6465.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/centralwest_6/2022,Australia: Orange,,Jun-2022,feces,Canis lupus familiaris,No,3.0,No,No,0-2670,1.0,2621-4157,1.0,3957-6465,1.0,Mammalia,2670.0,1536.0,2508.0
PV418551,PV418551.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_3/2022 RNA-dependent RNA polymerase gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2059.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/centralwest_3/2022,Australia: Orange,,Jun-2022,feces,Canis lupus familiaris,No,1.0,No,No,NA-NA,,548-2059,1.0,NA-NA,,Mammalia,,1511.0,
PV418550,PV418550.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_3/2022 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2311.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/centralwest_3/2022,Australia: Orange,,Jun-2022,feces,Canis lupus familiaris,No,1.0,No,No,NA-NA,,NA-NA,,2-2311,1.0,Mammalia,,,2309.0
PV418549,PV418549.1,"Canine astrovirus isolate CaAstV/Dog/AUS/c_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,2227.0,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/c_hopevale_4/2021,Australia: Hope Vale,,Dec-2021,rectal swab,Canis lupus familiaris,No,1.0,No,No,NA-NA,,NA-NA,,1-2227,1.0,Mammalia,,,2226.0
