qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle	score_per_aa
SRR19115554|k141_54088/Caliciviridae/5822/1268-1103/1.0057264166666666	YP_009552769.1	68.0	1390	437	6	5787	1624	1	1384	0.0	1886.0	5822	1761	71.5	78.6	YP_009552769.1 nonstructural polyprotein [Culex Bastrovirus-like virus]	1.3568345323741007
SRR19115553|k141_8842/Avihepatovirus/2548/498-597/3.285820792079208	YP_009361997.1	46.1	853	432	12	2	2548	196	1024	3.19e-247	754.0	2548	2207	100.0	37.6	YP_009361997.1 polyprotein [parechovirus D1]	0.8839390386869871
SRR19115554|k141_58028/Astroviridae/5601/1902-1725/8.417556306306308	YP_009664783.1	62.8	468	174	0	3593	2190	1	468	9.77e-214	644.0	5601	470	25.1	99.6	YP_009664783.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD77/2007]	1.376068376068376
SRR19115553|k141_22318/Caliciviridae/2609/1347-1509/1.26236625	YP_009552769.1	50.2	725	324	8	1	2166	1069	1759	6.09e-197	612.0	2609	1761	83.0	39.2	YP_009552769.1 nonstructural polyprotein [Culex Bastrovirus-like virus]	0.8441379310344828
SRR19115553|k141_30493/Parechovirus/1315/150-216/1.918247573529412	YP_009361997.1	49.5	444	218	3	2	1315	1412	1855	7.199999999999999e-141	447.0	1315	2207	99.9	20.1	YP_009361997.1 polyprotein [parechovirus D1]	1.0067567567567568
SRR19115553|k141_19280/Salivirus/676/498-657/8.026203738317758	YP_009380518.1	98.6	219	3	0	2	658	1334	1552	9.97e-144	446.0	676	2444	97.2	9.0	YP_009380518.1 polyprotein [Canine kobuvirus]	2.036529680365297
SRR19115553|k141_36443/Avihepatovirus/1397/1163-1070/2.855796435643565	YP_009361997.1	46.6	444	229	4	1394	66	278	714	1.33e-129	417.0	1397	2207	95.1	19.8	YP_009361997.1 polyprotein [parechovirus D1]	0.9391891891891891
SRR19115554|k141_10576/Parechovirus/1048/303-354/3.20219544	YP_009361997.1	44.4	347	173	5	3	1037	185	513	5.68e-92	303.0	1048	2207	98.8	14.9	YP_009361997.1 polyprotein [parechovirus D1]	0.8731988472622478
SRR19115554|k141_6225/Parechovirus/814/553-484/1.9453310833333333	YP_009361997.1	47.3	275	131	3	806	3	920	1187	2.51e-80	266.0	814	2207	98.8	12.1	YP_009361997.1 polyprotein [parechovirus D1]	0.9672727272727273
SRR19115553|k141_17971/Parechovirus/607/100-1/5.652016666666667	YP_009361997.1	58.1	198	83	0	595	2	1087	1284	1.26e-78	258.0	607	2207	97.9	9.0	YP_009361997.1 polyprotein [parechovirus D1]	1.303030303030303
SRR15534018|k141_24256/Mamastrovirus/888/75-216/4.173837386934673	YP_009664787.1	52.0	227	86	4	207	887	1	204	8.37e-62	212.0	888	816	76.7	25.0	YP_009664787.1 polyprotein 1AB, partial [Mamastrovirus 18]	0.933920704845815
SRR15534018|k141_33435/Astroviridae/334/289-127/4.091229453125	YP_009664790.1	81.2	101	19	0	333	31	422	522	8.090000000000001e-59	191.0	334	522	90.7	19.3	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]	1.891089108910891
SRR15534018|k141_5922/Astroviridae/307/15-171/4.103350937499999	YP_009664790.1	86.7	90	12	0	2	271	432	521	3.25e-52	173.0	307	522	87.9	17.2	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]	1.9222222222222223
SRR15534018|k141_82710/Astroviridae/351/246-72/7.753790551181103	YP_009664790.1	64.7	116	41	0	350	3	75	190	5.74e-52	173.0	351	522	99.1	22.2	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]	1.4913793103448276
SRR19115554|k141_35187/Parechovirus/410/180-228/2.3404010236220474	YP_009361997.1	59.6	109	44	0	2	328	1983	2091	3.92e-41	148.0	410	2207	79.8	4.9	YP_009361997.1 polyprotein [parechovirus D1]	1.3577981651376148
SRR19115553|k141_26378/Crohivirus/487/378-444/3.916552631578947	YP_009505617.1	43.2	162	86	3	8	484	80	238	3.0399999999999997e-34	129.0	487	2180	97.9	7.3	YP_009505617.1 polyprotein [parechovirus A1]	0.7962962962962963
SRR19115554|k141_38632/Avihepatovirus/331/235-136/3.695737623762376	YP_009361997.1	41.1	107	61	1	331	11	317	421	1.08e-27	108.0	331	2207	97.0	4.8	YP_009361997.1 polyprotein [parechovirus D1]	1.0093457943925233
