Образец	Страна	Год извлечения	Хозяин	Длина контига	Профиль	На что бластанулось	Bitscore	Информация
SRR19115554	Switzerland	2020	Myotis myotis	11270	Hepatovirus	RNA-dependent RNA polymerase [Myrmica scabrinodis virus 1]	4477.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8986	Crohivirus	hypothetical protein [Hubei picorna-like virus 35]	4460.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	11627	Hepatovirus	RNA-dependent RNA polymerase [Lasius neglectus virus 1]	4208.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	9406	Hepatovirus	non-structural polyprotein [Kashmir bee virus]	2738.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	6099	Hepatovirus	non-structural polyprotein [Kashmir bee virus]	2652.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	3906	Enterovirus	polyprotein [Bat picornavirus 3]	2437.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	8827	Harkavirus	polyprotein [Washington bat picornavirus]	2198.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5445	Parechovirus	non-structural polyprotein [Kashmir bee virus]	2189.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	7045	Crohivirus	polyprotein [Crohivirus B]	2183.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	8101	Hepatovirus	polyprotein [Washington bat picornavirus]	2152.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8097	Crohivirus	RNA-dependent RNA polymerase, partial [Lasius niger virus 1]	2138.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8558	Hepatovirus	polyprotein [Washington bat picornavirus]	2107.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3706	Kobuvirus	replicase polyprotein [Acute bee paralysis virus]	2035.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	9707	Bopivirus	hypothetical protein [Hubei arthropod virus 1]	1935.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8603	Bopivirus	polyprotein [Sacbrood virus]	1923.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5822	Astroviridae	nonstructural polyprotein [Culex Bastrovirus-like virus]	1886.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	9413	Hepatovirus	hypothetical protein [Hubei picorna-like virus 26]	1791.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	6410	Cosavirus	hypothetical protein 1 [Wuhan insect virus 31]	1774.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	8514	Hepatovirus	replicase polyprotein [Drosophila C virus]	1773.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	6106	Hepatovirus	polyprotein [Washington bat picornavirus]	1765.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	9210	Parechovirus	hypothetical protein 1 [Wuhan insect virus 11]	1745.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	10067	Hepatovirus	hypothetical protein 1 [Wuhan arthropod virus 2]	1573.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	6888	Crohivirus	polyprotein [Shanbavirus A]	1565.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	9820	Crohivirus	RNA-dependent RNA polymerase [Solenopsis invicta virus 2]	1507.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2235	Hepatovirus	RNA-dependent RNA polymerase, partial [Lasius niger virus 1]	1462.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5097	Hepatovirus	hypothetical protein 1 [Hubei picorna-like virus 24]	1444.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5704	Hepatovirus	hypothetical protein 1 [Wuhan arthropod virus 2]	1441.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3049	Hepatovirus	polyprotein [Washington bat picornavirus]	1399.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5505	Bopivirus	hypothetical protein [Hubei picorna-like virus 39]	1350.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	7412	Hepatovirus	hypothetical protein 1 [Wuhan arthropod virus 2]	1315.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	7488	Crohivirus	hypothetical protein [Hubei arthropod virus 1]	1310.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	4071	Kobuvirus	polyprotein [Washington bat picornavirus]	1305.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	2285	Harkavirus	structural polyprotein, partial [Kashmir bee virus]	1187.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	5310	Crohivirus	capsid polyprotein, partial [Drosophila C virus]	1185.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	9792	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	1170.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	9261	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	1169.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	9860	Parechovirus	hypothetical protein [Hubei myriapoda virus 1]	1161.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	8021	Cosavirus	hypothetical protein 2 [Hubei picorna-like virus 51]	1146.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR19115554	Switzerland	2020	Myotis myotis	3194	Hepatovirus	polymerase polyprotein [Israeli acute paralysis virus]	1123.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR19115554	Switzerland	2020	Myotis myotis	3039	Crohivirus	hypothetical protein 1 [Changjiang crawfish virus 6]	1120.0	BioProject: PRJNA835632 | SRA Study: SRP373899 | Experiment: SRX15183249
SRR14381429	China	2020	Rhinolophus malayanus	9971	Bopivirus	hypothetical protein [Hubei myriapoda virus 1]	1115.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
SRR14381429	China	2020	Rhinolophus malayanus	10053	Bopivirus	hypothetical protein [Hubei myriapoda virus 1]	1115.0	BioProject: PRJNA707649 | SRA Study: SRP318125 | Experiment: SRX10733726
