Model_ID,Taxon,TxID,Model type,Range,Positive terms,Negative terms,Start coordinate,End coordinate,Cutoff score,Length,# of sequences,Segmentation,Genome type,Sense,Topology,Baltimore,Parent,Natural Host,Organism_type
vHMM_13101,Picornaviridae,12058,short,wide,polyprotein,,5046,5105,60,60,300,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13102,Picornaviridae,12058,short,wide,polyprotein,,6703,6731,29,29,362,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13103,Picornaviridae,12058,short,wide,polyprotein,,6751,6772,22,22,299,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13104,Picornaviridae,12058,short,wide,polyprotein,,4992,5017,26,26,274,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18363,Picornaviridae,12058,full-length,wide,polyprotein,,1,2436,508.64,2436,1049,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13195,Aphthovirus,12109,short,narrow,polyprotein,,6376,6396,25.36,21,8,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13196,Aphthovirus,12109,short,narrow,polyprotein,,6328,6349,40.18,22,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13197,Aphthovirus,12109,short,narrow,polyprotein,,7026,7045,44.36,20,6,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13198,Aphthovirus,12109,short,narrow,polyprotein,,338,386,67.7,49,12,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13199,Aphthovirus,12109,short,narrow,polyprotein,,405,456,71.76,52,10,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13200,Aphthovirus,12109,short,narrow,polyprotein,,6155,6174,33.6,20,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13201,Aphthovirus,12109,short,narrow,polyprotein,,458,500,67.52,43,9,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13202,Aphthovirus,12109,short,narrow,polyprotein,,4337,4356,20,20,5,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13203,Aphthovirus,12109,short,narrow,polyprotein,,627,651,51.14,25,6,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13204,Aphthovirus,12109,short,narrow,polyprotein,,6809,6829,34.32,21,7,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_18367,Aphthovirus,12109,full-length,narrow,polyprotein,,1,2284,3140.24,2284,13,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13548,Potamipivirus,1914567,short,narrow,polyprotein,,5961,5986,47.6,26,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13549,Potamipivirus,1914567,short,narrow,polyprotein,,5692,5724,67.68,33,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13550,Potamipivirus,1914567,short,narrow,polyprotein,,4976,5035,127.4,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13551,Potamipivirus,1914567,short,narrow,polyprotein,,6186,6212,47.52,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13552,Potamipivirus,1914567,short,narrow,polyprotein,,3177,3203,51.36,27,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13553,Potamipivirus,1914567,short,narrow,polyprotein,,7027,7046,45.62,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13554,Potamipivirus,1914567,short,narrow,polyprotein,,6891,6910,33.1,20,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13555,Potamipivirus,1914567,short,narrow,polyprotein,,5522,5581,122.4,60,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13556,Potamipivirus,1914567,short,narrow,polyprotein,,6751,6773,48.88,23,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
vHMM_13557,Potamipivirus,1914567,short,narrow,polyprotein,,4336,4356,37.12,21,1,,ssRNA,,,IV,Picornavirales order,Infect vertebrates; including humans,eukaryotic
