,ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
51,OR951098,OR951098.1,MAG: Bat astrovirus isolate JX2021_368_226027 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3758.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_368_226027,China,,2021,swab,Rhinolophus sinicus,Yes,0.0,No,No,48-807,1.0,806-2387,1.0,2424-3177,1.0,Mammalia
52,OR951097,OR951097.1,MAG: Bat astrovirus isolate JX2021_367_194485 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6021.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_367_194485,China,,2021,swab,Rhinolophus sinicus,Yes,0.0,No,No,305-2255,1.0,2254-3832,1.0,3812-6008,1.0,Mammalia
53,OR951096,OR951096.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1608.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021,China,,2021,swab,Rhinolophus affinis,Yes,0.0,No,No,NA-NA,,241-1608,1.0,NA-NA,,Mammalia
54,OR951095,OR951095.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1381.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021,China,,2021,swab,Rhinolophus affinis,Yes,1.0,No,No,NA-NA,,0-1371,1.0,NA-NA,,Mammalia
55,OR951094,OR951094.1,"MAG: Bat astrovirus isolate FJ2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1850.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,FJ2021,China,,2021,swab,Rhinolophus affinis,Yes,0.0,No,No,NA-NA,,468-1701,1.0,NA-NA,,Mammalia
56,OR951093,OR951093.1,"MAG: Bat astrovirus isolate FJ2021 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,960.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,FJ2021,China,,2021,swab,Rhinolophus affinis,Yes,1.0,No,No,NA-NA,,0-960,1.0,NA-NA,,Mammalia
57,OR951092,OR951092.1,"MAG: Bat astrovirus isolate HN2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,901.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HN2021,China,,2021,swab,Rhinolophus affinis,Yes,0.0,No,No,NA-NA,,85-901,1.0,NA-NA,,Mammalia
58,OR951091,OR951091.1,"MAG: Bat astrovirus isolate LN2020_329_13161 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1107.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,LN2020_329_13161,China,,2020,swab,Rhinolophus ferrumequinum,Yes,0.0,No,No,NA-NA,,162-1107,1.0,NA-NA,,Mammalia
59,OR951090,OR951090.1,"MAG: Bat astrovirus isolate LN2020_331_77556 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1919.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,LN2020_331_77556,China,,2020,swab,Myotis sp.,Yes,0.0,No,No,NA-NA,,116-1718,1.0,NA-NA,,Mammalia
60,OR951089,OR951089.1,"MAG: Bat astrovirus isolate YN2020 polyprotein 1b-like gene, partial sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1539.0,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020,China,,2020,swab,Miniopterus schreibersii,Yes,0.0,No,No,NA-NA,,260-1539,1.0,NA-NA,,Mammalia
