,Query,Name,Score,From,To,Taxon,Threshold,Positive terms,Score_ratio,Lengh,Frame,Length_contig
0,vHMM_18374,k141_17689,414.79993,222,1590,Crohivirus,8.4,polyprotein,49.380944047619046,1592,1,1592
1,vHMM_18387,k141_17689,659.85315,219,1590,Parechovirus,15.8,polyprotein,41.76285759493671,1592,1,1592
2,vHMM_18374,k141_15746,324.59235,312,1608,Crohivirus,8.4,polyprotein,38.64194642857143,1612,3,1612
3,vHMM_18374,k141_9741,277.764,12,1089,Crohivirus,8.4,polyprotein,33.067142857142855,1272,2,1272
4,vHMM_18387,k141_15746,498.4762,288,1608,Parechovirus,15.8,polyprotein,31.54912658227848,1612,3,1612
5,vHMM_18391,k141_17689,309.0605,219,1590,Potamipivirus,11.3,polyprotein,27.350486725663714,1592,1,1592
6,vHMM_18374,k141_9725,228.4979,6,1035,Crohivirus,8.4,polyprotein,27.20213095238095,1042,3,1042
7,vHMM_18387,k141_9741,417.80133,6,1269,Parechovirus,15.8,polyprotein,26.443122151898734,1272,2,1272
8,vHMM_18381,k141_17689,299.76523,219,1590,Kunsagivirus,12.1,polyprotein,24.773985950413223,1592,1,1592
9,vHMM_18387,k141_9725,379.23358,6,1026,Parechovirus,15.8,polyprotein,24.002125316455697,1042,3,1042
10,vHMM_18368,k141_17689,218.69978,267,1590,Aquamavirus,10.0,polyprotein,21.869978,1592,1,1592
11,vHMM_18388,k141_15746,268.043,297,1608,Pasivirus,12.6,polyprotein,21.273253968253968,1612,3,1612
12,vHMM_18388,k141_17689,266.64792,213,1587,Pasivirus,12.6,polyprotein,21.162533333333332,1592,1,1592
13,vHMM_18374,k141_24221,177.65657,270,942,Crohivirus,8.4,polyprotein,21.149591666666666,948,2,948
14,vHMM_18382,k141_17689,238.1932,219,1587,Limnipivirus,11.6,polyprotein,20.533896551724137,1592,1,1592
15,vHMM_18363,k141_17689,465.33096,219,1590,Picornaviridae,23.0,polyprotein,20.231780869565217,1592,1,1592
16,vHMM_18374,k141_40018,164.51967,3,423,Crohivirus,8.4,polyprotein,19.585675,428,1,428
17,vHMM_18375,k141_17689,246.08392,219,1560,Enterovirus,13.0,polyprotein,18.92953230769231,1592,1,1592
18,vHMM_18370,k141_17689,297.02075,219,1590,Avisivirus,16.1,polyprotein,18.448493788819874,1592,1,1592
19,vHMM_18387,k141_24221,262.0639,267,942,Parechovirus,15.8,polyprotein,16.586322784810125,948,2,948
20,vHMM_18371,k141_17689,220.96547,282,1584,Bopivirus,13.7,polyprotein,16.128866423357668,1592,1,1592
21,vHMM_18388,k141_9725,201.54118,15,969,Pasivirus,12.6,polyprotein,15.995331746031747,1042,3,1042
22,vHMM_18393,k141_17689,156.0223,219,1548,Rosavirus,9.9,polyprotein,15.759828282828282,1592,1,1592
23,vHMM_18373,k141_17689,129.1268,219,1530,Cosavirus,8.6,polyprotein,15.014744186046512,1592,1,1592
24,vHMM_18387,k141_40018,229.88124,3,423,Parechovirus,15.8,polyprotein,14.549445569620252,428,1,428
25,vHMM_18378,k141_17689,136.25691,216,1446,Harkavirus,9.4,polyprotein,14.49541595744681,1592,1,1592
26,vHMM_18386,k141_17689,133.32759,321,1542,Oscivirus,9.2,polyprotein,14.492129347826086,1592,1,1592
27,vHMM_18379,k141_17689,169.57172,567,1554,Hepatovirus,11.8,polyprotein,14.370484745762711,1592,1,1592
28,vHMM_18364,k141_17689,325.2525,219,1587,Aalivirus,23.2,polyprotein,14.019504310344828,1592,1,1592
29,vHMM_18363,k141_21665,313.25565,7124,3107,Picornaviridae,23.0,polyprotein,13.619810869565217,9278,6,9278
30,vHMM_18374,k141_30562,112.18841,429,6,Crohivirus,8.4,polyprotein,13.355763095238094,435,5,435
31,vHMM_18368,k141_9725,132.93925,174,888,Aquamavirus,10.0,polyprotein,13.293924999999998,1042,3,1042
32,vHMM_18388,k141_9741,166.86327,18,1086,Pasivirus,12.6,polyprotein,13.243116666666667,1272,2,1272
33,vHMM_8353,k141_51398,157.16132,447,3,Vesivirus,12.0,capsid,13.096776666666665,519,5,519
34,vHMM_18367,k141_17689,141.18008,279,1476,Aphthovirus,10.9,polyprotein,12.952300917431193,1592,1,1592
35,vHMM_18363,k141_16770,293.05698,7976,3605,Picornaviridae,23.0,polyprotein,12.741607826086957,8876,5,8876
36,vHMM_18375,k141_7312,156.2766,331,64,Enterovirus,13.0,polyprotein,12.021276923076924,334,4,334
37,vHMM_18388,k141_40018,150.48204,3,420,Pasivirus,12.6,polyprotein,11.94301904761905,428,1,428
38,vHMM_8357,k141_21935,289.5303,1226,134,Sapovirus,24.6,polyprotein;nonstructural,11.769524390243902,1229,6,1229
39,vHMM_8353,k141_21935,141.01537,1223,170,Vesivirus,12.0,capsid,11.751280833333333,1229,6,1229
40,vHMM_18374,k141_37027,98.05963,18,435,Crohivirus,8.4,polyprotein,11.673765476190475,448,2,448
41,vHMM_18384,k141_17689,147.2971,219,1530,Megrivirus,13.3,polyprotein,11.074969924812029,1592,1,1592
42,vHMM_8349,k141_51398,166.6149,471,3,Caliciviridae,15.3,capsid,10.88986274509804,519,5,519
43,vHMM_18387,k141_37027,169.42212,18,441,Parechovirus,15.8,polyprotein,10.722918987341773,448,2,448
44,vHMM_18363,k141_42190,242.89606,6987,9675,Picornaviridae,23.0,polyprotein,10.560698260869566,9777,3,9777
45,vHMM_18367,k141_21665,114.48149,4901,3287,Aphthovirus,10.9,polyprotein,10.502888990825687,9278,6,9278
46,vHMM_18379,k141_27014,123.45773,2659,211,Hepatovirus,11.8,polyprotein,10.462519491525423,7903,6,7903
47,vHMM_18391,k141_15746,117.652214,288,1014,Potamipivirus,11.3,polyprotein,10.411700353982301,1612,3,1612
48,vHMM_18374,k141_48511,86.81938,15,513,Crohivirus,8.4,polyprotein,10.335640476190475,515,1,515
49,vHMM_18381,k141_15746,124.994965,318,1581,Kunsagivirus,12.1,polyprotein,10.330162396694215,1612,3,1612
50,vHMM_18394,k141_17689,114.65888,309,1563,Sakobuvirus,11.1,polyprotein,10.32962882882883,1592,1,1592
51,vHMM_18391,k141_9725,115.031044,237,900,Potamipivirus,11.3,polyprotein,10.179738407079645,1042,3,1042
52,vHMM_18365,k141_17689,105.7455,330,1452,Ailurivirus,10.6,polyprotein,9.975990566037737,1592,1,1592
