qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR25999231|k141_7247/Kobuvirus/9893/2003-248/7.744766	YP_009330050.1	37.1	3015	1683	62	8864	138	120	3028	0.0	1709.0	9893	3029	88.2	96.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR25999231|k141_71989/Rosavirus/8103/4278-4821/4.328573939393939	YP_009352233.1	29.3	2750	1658	65	2	7666	652	3298	6.4599999999999995e-285	935.0	8103	3437	94.6	77.0	YP_009352233.1 polyprotein [Diabrotica virgifera virgifera virus 2]
SRR25999231|k141_67691/Astroviridae/6541/6487-3997/56.51872	YP_009664789.1	56.0	821	291	16	2405	141	23	839	4.3399999999999994e-263	796.0	6541	850	34.6	96.1	YP_009664789.1 capsid protein precursor [Mamastrovirus 18]
SRR25999230|k141_81282/Astroviridae/1647/387-42/5.6330424	YP_009408589.1	79.1	411	82	2	1643	417	825	1233	1.4899999999999998e-216	637.0	1647	1234	74.5	33.1	YP_009408589.1 non-structural polyprotein, partial [Bastrovirus/VietNam/Bat/16715_78]
SRR25999230|k141_64496/Lagovirus/1826/189-243/1.1140331313131313	YP_009882599.1	95.0	337	17	0	445	1455	1	337	1.5000000000000002e-226	633.0	1826	337	55.4	100.0	YP_009882599.1 tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Klebsiella phage ST147-VIM1phi7.1]
SRR25999231|k141_72991/Astroviridae/2280/1062-2277/41.96952666666667	YP_009664790.1	70.5	370	109	0	4	1113	153	522	3.66e-198	574.0	2280	522	48.7	70.9	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR25999230|k141_72439/Crohivirus/4485/2838-2538/1.526230714285714	YP_009337677.1	37.7	904	517	14	4395	1771	34	920	3.8299999999999996e-180	565.0	4485	939	58.5	94.5	YP_009337677.1 hypothetical protein 1 [Beihai tombus-like virus 15]
SRR25999230|k141_83039/Astroviridae/1967/1668-1944/1.1616333333333333	YP_009337677.1	41.6	587	327	7	215	1963	52	626	4.07e-145	448.0	1967	939	88.9	61.2	YP_009337677.1 hypothetical protein 1 [Beihai tombus-like virus 15]
SRR25999231|k141_75737/Astroviridae/832/826-1/34.27442666666666	YP_009664789.1	77.0	282	59	2	832	2	115	395	7.59e-152	447.0	832	850	99.9	33.1	YP_009664789.1 capsid protein precursor [Mamastrovirus 18]
SRR25999231|k141_72583/Hepatovirus/8904/6537-8739/7.602435593220339	YP_009336529.1	22.8	2834	1690	99	1426	8790	269	2986	2.99e-118	426.0	8904	3001	82.7	90.6	YP_009336529.1 hypothetical protein [Hubei picorna-like virus 44]
SRR25999230|k141_64647/Parechovirus/814/291-318/1.142787166666667	YP_009293522.1	90.8	217	20	0	782	132	1	217	1.21e-145	413.0	814	322	80.0	67.4	YP_009293522.1 transposase [Salmonella phage SJ46]
SRR25999231|k141_9931/Astroviridae/750/3-750/29.82831	YP_009664790.1	74.0	250	65	0	1	750	132	381	5.15e-137	398.0	750	522	100.0	47.9	YP_009664790.1 non-structural polyprotein 1AB, partial [Bat astrovirus Tm/Guangxi/LD38/2007]
SRR25999231|k141_4271/Astroviridae/2002/1996-274/43.66612	YP_006905858.1	39.1	575	327	11	1972	296	316	883	2.07e-108	351.0	2002	889	83.8	63.9	YP_006905858.1 ORF1a [Astrovirus VA3]
SRR25999230|k141_67060/Avisivirus/7976/4971-5025/1.4824007407407405	YP_009015561.1	57.5	273	112	4	7974	7165	148	419	1.5299999999999998e-94	317.0	7976	436	10.2	62.4	YP_009015561.1 gp258 [Bacillus phage G]
SRR25999230|k141_28845/Mamastrovirus/761/414-441/1.109619245283019	YP_001687536.1	65.0	243	83	1	761	33	245	485	2.3799999999999997e-104	313.0	761	486	95.8	49.6	YP_001687536.1 major head protein [Lactococcus phage asccphi28]
SRR25999231|k141_45718/Potamipivirus/4258/1018-766/1.7745382300884955	YP_009336561.1	33.6	661	401	15	2070	109	1	630	2.02e-90	310.0	4258	648	46.1	97.2	YP_009336561.1 hypothetical protein 3 [Hubei tombus-like virus 40]
SRR25999230|k141_24841/Astroviridae/1241/723-987/1.348921466666667	YP_009337677.1	40.5	410	223	4	19	1239	312	703	1.83e-91	298.0	1241	939	98.4	41.7	YP_009337677.1 hypothetical protein 1 [Beihai tombus-like virus 15]
SRR25999231|k141_31134/Astroviridae/1288/3-1266/33.42693333333333	YP_009664787.1	53.5	299	118	7	432	1283	1	293	2.8e-89	290.0	1288	816	66.1	35.9	YP_009664787.1 polyprotein 1AB, partial [Mamastrovirus 18]
SRR25999230|k141_56550/Astroviridae/2974/2064-2544/1.0802618666666668	YP_009882599.1	41.4	333	193	1	625	1623	3	333	4.73e-77	258.0	2974	337	33.6	98.2	YP_009882599.1 tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Klebsiella phage ST147-VIM1phi7.1]
