Query,Name,Contig,Frame,Score,From,To,Alignment_length,HMM_length,Coverage,Threshold,Score_ratio,Length_contig
Parechovirus_polyprotein,k141_17975|frame=-2,k141_17975,-2,2433.652099609375,9,2204,2196,2205,0.9959183673469387,12,202.8043416341146,7045
Parechovirus_VP0_VP3_VP1,k141_17975|frame=-2,k141_17975,-2,866.4102172851562,18,807,790,808,0.9777227722772277,12,72.20085144042969,7045
Parechovirus_polyprotein,k141_16661|frame=-2,k141_16661,-2,847.4273071289062,103,1399,1297,2205,0.5882086167800453,12,70.61894226074219,6888
Astroviridae_1B,k141_18644|frame=-1,k141_18644,-1,839.5913696289062,10,516,507,516,0.9825581395348837,15,55.972757975260414,4882
Astroviridae_1A,k141_31770|frame=-2,k141_31770,-2,834.1271362304688,26,830,805,858,0.9382284382284383,15,55.60847574869792,6707
Astroviridae_1B,k141_31770|frame=-1,k141_31770,-1,827.1337890625,12,516,505,516,0.9786821705426356,15,55.142252604166664,6707
Astroviridae_1A,k141_30912|frame=-3,k141_30912,-3,823.1188354492188,27,829,803,858,0.9358974358974359,15,54.87458902994792,2954
Astroviridae_1B,k141_33133|frame=-1,k141_33133,-1,750.6112060546875,4,515,512,516,0.9922480620155039,15,50.0407470703125,1985
Astroviridae_1B,k141_21581|frame=-3,k141_21581,-3,705.2279052734375,12,420,409,516,0.7926356589147286,15,47.015193684895834,1485
Astroviridae_2,k141_18644|frame=-2,k141_18644,-2,702.7738647460938,93,737,645,866,0.7448036951501155,15,46.85159098307292,4882
Astroviridae_2,k141_14709|frame=3,k141_14709,3,699.5659790039062,78,752,675,866,0.7794457274826789,15,46.63773193359375,3436
Astroviridae_2,k141_31770|frame=-2,k141_31770,-2,678.844970703125,92,724,633,866,0.73094688221709,15,45.25633138020833,6707
Astroviridae_2,k141_11582|frame=1,k141_11582,1,675.7077026367188,102,709,608,866,0.7020785219399538,15,45.04718017578125,2484
Astroviridae_2,k141_17997|frame=-1,k141_17997,-1,672.5234375,136,631,496,866,0.5727482678983834,15,44.834895833333334,1749
Parechovirus_3A_3B_3C_3D,k141_17975|frame=-2,k141_17975,-2,668.4671020507812,1,566,566,567,0.9982363315696648,12,55.7055918375651,7045
Kobuvirus_polyprotein,k141_21548|frame=-1,k141_21548,-1,648.8573608398438,1290,2406,1117,2410,0.46348547717842326,15,43.25715738932292,3906
Astroviridae_1A,k141_35630|frame=-3,k141_35630,-3,583.3243408203125,28,604,577,858,0.6724941724941725,15,38.88828938802083,1794
Parechovirus_polyprotein,k141_16661|frame=-2,k141_16661,-2,570.2837524414062,1464,2180,717,2205,0.3251700680272109,12,47.52364603678385,6888
Parechovirus_2A_2B_2C,k141_17975|frame=-2,k141_17975,-2,565.2398681640625,1,593,593,594,0.9983164983164983,12,47.10332234700521,7045
Astroviridae_1B,k141_14709|frame=2,k141_14709,2,545.7667846679688,189,515,327,516,0.6337209302325582,15,36.38445231119792,3436
Parechovirus_3A_3B_3C_3D,k141_16661|frame=-2,k141_16661,-2,486.03607177734375,2,542,541,567,0.9541446208112875,12,40.50300598144531,6888
Astroviridae_2,k141_11299|frame=-2,k141_11299,-2,457.97021484375,212,800,589,866,0.6801385681293303,15,30.53134765625,2061
Parechovirus_VP0_VP3_VP1,k141_16661|frame=-2,k141_16661,-2,456.6353759765625,20,807,788,808,0.9752475247524752,12,38.052947998046875,6888
Astroviridae_1A,k141_14360|frame=-2,k141_14360,-2,454.0709228515625,243,610,368,858,0.4289044289044289,15,30.271394856770833,1116
Kobuvirus_3A_3B_3C_3D,k141_21548|frame=-1,k141_21548,-1,419.36834716796875,1,623,623,627,0.9936204146730463,15,27.957889811197916,3906
Kobuvirus_polyprotein,k141_16661|frame=-2,k141_16661,-2,392.6149597167969,1206,2379,1174,2410,0.4871369294605809,15,26.17433064778646,6888
Kobuvirus_polyprotein,k141_17975|frame=-2,k141_17975,-2,374.18701171875,1192,2381,1190,2410,0.49377593360995853,15,24.94580078125,7045
Astroviridae_1A,k141_18665|frame=1,k141_18665,1,325.5304870605469,358,697,340,858,0.3962703962703963,15,21.702032470703124,1016
