qseqid	sseqid	pident	align_len	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovhsp	scovhsp	stitle
SRR14381429|k141_21548/Enterovirus/3906/3903-81/119.5600923076923	YP_004782204.1	93.6	1275	82	0	3906	82	1064	2338	0.0	2437.0	3906	2338	97.9	54.5	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR14381429|k141_17975/Crohivirus/7045/6649-145/324.87744047619043	YP_009345900.1	50.3	2187	1056	22	6654	145	1	2172	0.0	2183.0	7045	2173	92.4	100.0	YP_009345900.1 polyprotein [Crohivirus B]
SRR14381429|k141_16661/Crohivirus/6888/6189-237/149.9926071428571	YP_009508298.1	41.0	2168	1168	30	6428	171	3	2141	0.0	1565.0	6888	2143	90.9	99.8	YP_009508298.1 polyprotein [Shanbavirus A]
SRR14381429|k141_17285/Parechovirus/9792/8040-9408/7.294681666666666	YP_009330050.1	30.9	2878	1747	65	1441	9612	241	3027	0.0	1170.0	9792	3029	83.5	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_9498/Parechovirus/9261/7521-8994/7.5658125	YP_009330050.1	30.9	2887	1729	68	923	9094	241	3027	0.0	1169.0	9261	3029	88.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_14722/Parechovirus/9860/7449-9447/8.3129975	YP_009330050.1	30.6	2891	1750	71	1482	9683	240	3027	0.0	1161.0	9860	3029	83.2	92.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_13289/Cosavirus/8021/1235-389/14.801754651162792	YP_009337724.1	39.7	1720	855	34	4970	141	79	1726	0.0	1146.0	8021	1727	60.2	95.4	YP_009337724.1 hypothetical protein 2 [Hubei picorna-like virus 51]
SRR14381429|k141_3888/Bopivirus/9971/1925-401/7.242259854014598	YP_009330050.1	29.8	2882	1765	67	8260	128	247	3028	0.0	1115.0	9971	3029	81.6	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_8730/Bopivirus/10053/8082-9606/7.427480656934307	YP_009330050.1	29.9	2880	1751	71	1748	9880	247	3028	0.0	1115.0	10053	3029	80.9	91.8	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18829/Bopivirus/9310/7527-9054/7.1106306569343065	YP_009330050.1	29.9	2877	1748	70	1197	9308	247	3021	0.0	1108.0	9310	3029	87.1	91.6	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_29796/Parechovirus/8889/7575-8865/7.315646666666667	YP_009330050.1	30.4	2789	1697	67	976	8886	241	2939	0.0	1084.0	8889	3029	89.0	89.1	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_9466/Bopivirus/1813/1807-22/41.01426277372263	YP_004782204.1	86.6	603	80	1	1811	3	307	908	0.0	1054.0	1813	2338	99.8	25.7	YP_004782204.1 polyprotein [Bat picornavirus 3]
SRR14381429|k141_31770/Astroviridae/6707/6653-4058/55.608476	YP_009505809.1	69.4	758	214	9	2377	137	48	798	0.0	1010.0	6707	800	33.4	93.9	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_11582/Astroviridae/2484/6-2046/45.04718	YP_009505809.1	68.0	756	230	8	160	2400	46	798	0.0	999.0	2484	800	90.2	94.1	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_14601/Crohivirus/8438/7358-5999/5.514039523809523	YP_009330050.1	29.6	2621	1621	67	7531	89	241	2784	2.57e-294	957.0	8438	3029	88.2	84.0	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_2621/Enterovirus/8540/7026-8502/6.200013076923077	YP_009330050.1	28.7	2768	1707	73	720	8534	198	2861	6.16e-293	954.0	8540	3029	91.5	87.9	YP_009330050.1 hypothetical protein [Hubei myriapoda virus 1]
SRR14381429|k141_18644/Astroviridae/4882/4042-2509/55.97276	YP_009505809.1	65.3	760	243	11	2370	130	46	797	0.0	942.0	4882	800	45.9	94.0	YP_009505809.1 capsid protein precursor [Bat astrovirus Hp/Guangxi/LC03/2007]
SRR14381429|k141_16175/Parechovirus/5373/1659-2127/4.164125416666667	YP_009342321.1	37.5	1514	866	23	740	5152	388	1864	2.2e-299	942.0	5373	2976	82.1	49.6	YP_009342321.1 hypothetical protein [Wuhan insect virus 13]
