Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_076039,Bat picornavirus,Shanbavirus aminfuli,,BtRf-PicoV-1/YN2012,6624,complete,China,Rhinolophus ferrumequinum,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2010-12,2023-05-04,ssRNA(+)
NC_076040,Bat picornavirus,Shanbavirus aminfuli,,BtNv-PicoV/SC2013,7048,complete,China,Nyctalus velutinus,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2013-03,2023-05-04,ssRNA(+)
NC_043071,Bat picornavirus,Shanbavirus aminfuli,,BtMr-PicoV/JX2010,7555,complete,China,Myotis ricketti,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2010-10,2019-06-28,ssRNA(+)
NC_043072,Bat picornavirus BatPV/V1/13 Hun,Mischivirus beminio,,,6855,complete,Hungary,Miniopterus schreibersii,feces,"Kemenesi,G., Zhang,D., Marton,S., Dallos,B., Gorfol,T., Estok,P., Boldogh,S., Kurucz,K., Oldal,M., Kutas,A., Banyai,K., Jakab,F.",2013,2019-06-28,ssRNA(+)
NC_038313,Bat hepatovirus SMG18520Minmav2014,Hepatovirus cemanavi,,SMG18520Minmav2014,7570,complete,Madagascar,Miniopterus,,"Drexler,J.F., Corman,V.M., Lukashev,A.N., van den Brand,J.M., Gmyl,A.P., Brunink,S., Rasche,A., Seggewibeta,N., Feng,H., Leijten,L.M., Vallo,P., Kuiken,T., Dotzauer,A., Ulrich,R.G., Lemon,S.M., Drosten,C.",2014,2018-08-24,ssRNA(+)
NC_038316,Bat hepatovirus BUO2BF86Colafr2010,Hepatovirus gafrisheta,,BUO2BF86Colafr2010,7399,complete,Ghana,Coleura afra,,"Drexler,J.F., Corman,V.M., Lukashev,A.N., van den Brand,J.M., Gmyl,A.P., Brunink,S., Rasche,A., Seggewibeta,N., Feng,H., Leijten,L.M., Vallo,P., Kuiken,T., Dotzauer,A., Ulrich,R.G., Lemon,S.M., Drosten,C.",2010,2018-08-24,ssRNA(+)
NC_038961,Shanbavirus A,Shanbavirus aminfuli,,BtMf-PicoV-1/SAX2011,7264,complete,China,Miniopterus fuliginosus,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2011-09,2018-08-24,ssRNA(+)
NC_034381,mischivirus A1,Mischivirus acombewi,,,8468,complete,China,Miniopterus schreibersii,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q., Hu,Y., Liu,L., Xue,Y., Wang,J.",2010-12,2017-04-26,ssRNA(+)
NC_033818,Kunsagivirus B,Kunsagivirus bacameba,,,7092,complete,Cameroon,Eidolon helvum,feces,"Yinda,C.K., Zeller,M., Conceicao-Neto,N., Maes,P., Deboutte,W., Beller,L., Heylen,E., Ghogomu,S.M., Van Ranst,M., Matthijnssens,J., Zell,R., Knowles,N.",2013-12,2017-02-27,ssRNA(+)
NC_033819,Crohivirus B,Crohivirus beidoli,,,7085,complete,Cameroon,Eidolon helvum,feces,"Yinda,C.K., Zeller,M., Conceicao-Neto,N., Maes,P., Deboutte,W., Beller,L., Heylen,E., Ghogomu,S.M., Van Ranst,M., Matthijnssens,J., Zell,R., Knowles,N.",2013-12,2017-02-27,ssRNA(+)
